Date,Value
2013-12-31,9346129.0
2012-12-31,9205651.0
2011-12-31,8925096.0
2010-12-31,8441537.0
2009-12-31,7718319.0
2008-12-31,6798635.0
2007-12-31,5797347.0
2006-12-31,4875639.0
2005-12-31,4148883.0
2004-12-31,3658658.0
2003-12-31,3369254.0
2002-12-31,3223969.0
2001-12-31,3132104.0
2000-12-31,3026352.0
1999-12-31,2893648.0
1998-12-31,2753498.0
1997-12-31,2608993.0
1996-12-31,2470810.0
1995-12-31,2346305.0
1994-12-31,2232159.0
1993-12-31,2121143.0
1992-12-31,2012977.0
1991-12-31,1908002.0
1990-12-31,1806498.0
1989-12-31,1707085.0
1988-12-31,1609170.0
1987-12-31,1514798.0
1986-12-31,1426915.0
1985-12-31,1347218.0
1984-12-31,1277300.0
1983-12-31,1215380.0
1982-12-31,1155765.0
1981-12-31,1090660.0
1980-12-31,1014825.0
1979-12-31,926112.0
1978-12-31,827191.0
1977-12-31,723617.0
1976-12-31,623450.0
1975-12-31,532742.0
1974-12-31,452848.0
1973-12-31,382599.0
1972-12-31,322439.0
1971-12-31,272211.0
1970-12-31,231529.0
1969-12-31,201157.0
1968-12-31,180762.0
1967-12-31,167360.0
1966-12-31,156890.0
1965-12-31,146341.0
1964-12-31,134411.0
1963-12-31,121574.0
1962-12-31,108774.0
1961-12-31,97727.0
1960-12-31,89608.0
