Date,Value
2013-12-31,41446246.0
2012-12-31,41086927.0
2011-12-31,40728738.0
2010-12-31,40374224.0
2009-12-31,40023641.0
2008-12-31,39676083.0
2007-12-31,39331357.0
2006-12-31,38988923.0
2005-12-31,38647854.0
2004-12-31,38308779.0
2003-12-31,37970411.0
2002-12-31,37627545.0
2001-12-31,37273361.0
2000-12-31,36903067.0
1999-12-31,36514558.0
1998-12-31,36109342.0
1997-12-31,35690778.0
1996-12-31,35264070.0
1995-12-31,34833168.0
1994-12-31,34399343.0
1993-12-31,33961947.0
1992-12-31,33520803.0
1991-12-31,33075194.0
1990-12-31,32624874.0
1989-12-31,32170407.0
1988-12-31,31713147.0
1987-12-31,31254574.0
1986-12-31,30796481.0
1985-12-31,30340419.0
1984-12-31,29886564.0
1983-12-31,29435404.0
1982-12-31,28989069.0
1981-12-31,28550123.0
1980-12-31,28120135.0
1979-12-31,27701412.0
1978-12-31,27293093.0
1977-12-31,26889764.0
1976-12-31,26483835.0
1975-12-31,26070443.0
1974-12-31,25646533.0
1973-12-31,25215328.0
1972-12-31,24785830.0
1971-12-31,24370660.0
1970-12-31,23978532.0
1969-12-31,23612675.0
1968-12-31,23269302.0
1967-12-31,22941477.0
1966-12-31,22618887.0
1965-12-31,22293817.0
1964-12-31,21963952.0
1963-12-31,21630854.0
1962-12-31,21295290.0
1961-12-31,20959241.0
1960-12-31,20623998.0
