Date,Value
2013-12-31,23130900.0
2012-12-31,22723900.0
2011-12-31,22340000.0
2010-12-31,22031800.0
2009-12-31,21691700.0
2008-12-31,21249200.0
2007-12-31,20827600.0
2006-12-31,20697900.0
2005-12-31,20394800.0
2004-12-31,20127400.0
2003-12-31,19895400.0
2002-12-31,19651400.0
2001-12-31,19413000.0
2000-12-31,19153000.0
1999-12-31,18926000.0
1998-12-31,18711000.0
1997-12-31,18517000.0
1996-12-31,18311000.0
1995-12-31,18072000.0
1994-12-31,17855000.0
1993-12-31,17667000.0
1992-12-31,17495000.0
1991-12-31,17284000.0
1990-12-31,17065100.0
1989-12-31,16814400.0
1988-12-31,16532200.0
1987-12-31,16263900.0
1986-12-31,16018400.0
1985-12-31,15758000.0
1984-12-31,15544000.0
1983-12-31,15369000.0
1982-12-31,15178000.0
1981-12-31,14927000.0
1980-12-31,14692000.0
1979-12-31,14514000.0
1978-12-31,14358000.0
1977-12-31,14192000.0
1976-12-31,14033000.0
1975-12-31,13893000.0
1974-12-31,13723000.0
1973-12-31,13380000.0
1972-12-31,13177000.0
1971-12-31,12937000.0
1970-12-31,12507000.0
1969-12-31,12263000.0
1968-12-31,12009000.0
1967-12-31,11799000.0
1966-12-31,11651000.0
1965-12-31,11388000.0
1964-12-31,11167000.0
1963-12-31,10950000.0
1962-12-31,10742000.0
1961-12-31,10483000.0
1960-12-31,10276477.0
