Date,Value
2013-12-31,10323474.0
2012-12-31,10050702.0
2011-12-31,9779795.0
2010-12-31,9509798.0
2009-12-31,9240783.0
2008-12-31,8973293.0
2007-12-31,8707490.0
2006-12-31,8443671.0
2005-12-31,8182362.0
2004-12-31,7922796.0
2003-12-31,7665681.0
2002-12-31,7414744.0
2001-12-31,7174911.0
2000-12-31,6949366.0
1999-12-31,6740491.0
1998-12-31,6546493.0
1997-12-31,6361301.0
1996-12-31,6176318.0
1995-12-31,5985658.0
1994-12-31,5786794.0
1993-12-31,5582420.0
1992-12-31,5378226.0
1991-12-31,5182525.0
1990-12-31,5001271.0
1989-12-31,4836240.0
1988-12-31,4685375.0
1987-12-31,4546136.0
1986-12-31,4414450.0
1985-12-31,4287263.0
1984-12-31,4163968.0
1983-12-31,4045352.0
1982-12-31,3931355.0
1981-12-31,3822206.0
1980-12-31,3718024.0
1979-12-31,3618509.0
1978-12-31,3523270.0
1977-12-31,3432262.0
1976-12-31,3345501.0
1975-12-31,3262959.0
1974-12-31,3184547.0
1973-12-31,3110074.0
1972-12-31,3039300.0
1971-12-31,2971941.0
1970-12-31,2907769.0
1969-12-31,2846652.0
1968-12-31,2788551.0
1967-12-31,2733450.0
1966-12-31,2681382.0
1965-12-31,2632360.0
1964-12-31,2586362.0
1963-12-31,2543335.0
1962-12-31,2503232.0
1961-12-31,2466002.0
1960-12-31,2431620.0
