Date,Value
2013-12-31,7265115.0
2012-12-31,7305888.0
2011-12-31,7348328.0
2010-12-31,7395599.0
2009-12-31,7444443.0
2008-12-31,7492561.0
2007-12-31,7545338.0
2006-12-31,7699020.0
2005-12-31,7739900.0
2004-12-31,7781161.0
2003-12-31,7823557.0
2002-12-31,7868468.0
2001-12-31,8020282.0
2000-12-31,8170172.0
1999-12-31,8210624.0
1998-12-31,8256786.0
1997-12-31,8312068.0
1996-12-31,8362826.0
1995-12-31,8406067.0
1994-12-31,8443591.0
1993-12-31,8472313.0
1992-12-31,8540164.0
1991-12-31,8632367.0
1990-12-31,8718289.0
1989-12-31,8876972.0
1988-12-31,8981446.0
1987-12-31,8971359.0
1986-12-31,8958171.0
1985-12-31,8960547.0
1984-12-31,8960679.0
1983-12-31,8939738.0
1982-12-31,8917457.0
1981-12-31,8891117.0
1980-12-31,8861535.0
1979-12-31,8825940.0
1978-12-31,8814032.0
1977-12-31,8804183.0
1976-12-31,8758599.0
1975-12-31,8720742.0
1974-12-31,8678745.0
1973-12-31,8620967.0
1972-12-31,8576200.0
1971-12-31,8536395.0
1970-12-31,8489574.0
1969-12-31,8434172.0
1968-12-31,8369603.0
1967-12-31,8310226.0
1966-12-31,8258057.0
1965-12-31,8204168.0
1964-12-31,8144340.0
1963-12-31,8078145.0
1962-12-31,8012946.0
1961-12-31,7943118.0
1960-12-31,7867374.0
