Date,Value
2013-12-31,3829307.0
2012-12-31,3833916.0
2011-12-31,3839322.0
2010-12-31,3845929.0
2009-12-31,3853446.0
2008-12-31,3861201.0
2007-12-31,3868665.0
2006-12-31,3875157.0
2005-12-31,3879828.0
2004-12-31,3886723.0
2003-12-31,3895779.0
2002-12-31,3897579.0
2001-12-31,3879353.0
2000-12-31,3834364.0
1999-12-31,3752004.0
1998-12-31,3640821.0
1997-12-31,3535998.0
1996-12-31,3485575.0
1995-12-31,3520996.0
1994-12-31,3659409.0
1993-12-31,3882548.0
1992-12-31,4143068.0
1991-12-31,4373715.0
1990-12-31,4526511.0
1989-12-31,4584734.0
1988-12-31,4564265.0
1987-12-31,4489555.0
1986-12-31,4399257.0
1985-12-31,4321966.0
1984-12-31,4263393.0
1983-12-31,4215148.0
1982-12-31,4175238.0
1981-12-31,4138160.0
1980-12-31,4099903.0
1979-12-31,4061827.0
1978-12-31,4026649.0
1977-12-31,3992930.0
1976-12-31,3958587.0
1975-12-31,3922171.0
1974-12-31,3882935.0
1973-12-31,3841440.0
1972-12-31,3799098.0
1971-12-31,3757982.0
1970-12-31,3719459.0
1969-12-31,3684024.0
1968-12-31,3650807.0
1967-12-31,3618161.0
1966-12-31,3583750.0
1965-12-31,3545862.0
1964-12-31,3503878.0
1963-12-31,3458189.0
1962-12-31,3409319.0
1961-12-31,3358202.0
1960-12-31,3305501.0
