Date,Value
2012-12-31,324060.0
2011-12-31,316280.0
2010-12-31,308595.0
2009-12-31,301016.0
2008-12-31,293544.0
2007-12-31,286196.0
2006-12-31,278985.0
2005-12-31,271920.0
2004-12-31,265040.0
2003-12-31,258346.0
2002-12-31,251766.0
2001-12-31,245198.0
2000-12-31,238586.0
1999-12-31,231860.0
1998-12-31,225083.0
1997-12-31,218484.0
1996-12-31,212375.0
1995-12-31,206962.0
1994-12-31,202348.0
1993-12-31,198420.0
1992-12-31,194894.0
1991-12-31,191368.0
1990-12-31,187552.0
1989-12-31,183368.0
1988-12-31,178906.0
1987-12-31,174250.0
1986-12-31,169547.0
1985-12-31,164916.0
1984-12-31,160342.0
1983-12-31,155820.0
1982-12-31,151498.0
1981-12-31,147566.0
1980-12-31,144151.0
1979-12-31,141308.0
1978-12-31,138972.0
1977-12-31,136991.0
1976-12-31,135145.0
1975-12-31,133261.0
1974-12-31,131306.0
1973-12-31,129294.0
1972-12-31,127148.0
1971-12-31,124792.0
1970-12-31,122179.0
1969-12-31,119260.0
1968-12-31,116061.0
1967-12-31,112699.0
1966-12-31,109344.0
1965-12-31,106121.0
1964-12-31,103070.0
1963-12-31,100166.0
1962-12-31,97389.0
1961-12-31,94701.0
1960-12-31,92068.0
