Date,Value
2013-12-31,10671200.0
2012-12-31,10496285.0
2011-12-31,10324445.0
2010-12-31,10156601.0
2009-12-31,9993406.0
2008-12-31,9834098.0
2007-12-31,9676456.0
2006-12-31,9517395.0
2005-12-31,9354709.0
2004-12-31,9187610.0
2003-12-31,9016787.0
2002-12-31,8843350.0
2001-12-31,8669066.0
2000-12-31,8495271.0
1999-12-31,8322408.0
1998-12-31,8150214.0
1997-12-31,7978521.0
1996-12-31,7806953.0
1995-12-31,7635362.0
1994-12-31,7463773.0
1993-12-31,7292745.0
1992-12-31,7123294.0
1991-12-31,6956736.0
1990-12-31,6794046.0
1989-12-31,6635658.0
1988-12-31,6481463.0
1987-12-31,6331219.0
1986-12-31,6184440.0
1985-12-31,6040757.0
1984-12-31,5900127.0
1983-12-31,5762673.0
1982-12-31,5628347.0
1981-12-31,5497112.0
1980-12-31,5368901.0
1979-12-31,5243771.0
1978-12-31,5121608.0
1977-12-31,5001971.0
1976-12-31,4884284.0
1975-12-31,4768177.0
1974-12-31,4653409.0
1973-12-31,4540197.0
1972-12-31,4429194.0
1971-12-31,4321324.0
1970-12-31,4217248.0
1969-12-31,4117153.0
1968-12-31,4020815.0
1967-12-31,3927961.0
1966-12-31,3838156.0
1965-12-31,3751047.0
1964-12-31,3666584.0
1963-12-31,3584782.0
1962-12-31,3505427.0
1961-12-31,3428270.0
1960-12-31,3353125.0
