Date,Value
2013-12-31,417784.0
2012-12-31,412238.0
2011-12-31,406512.0
2010-12-31,400569.0
2009-12-31,394400.0
2008-12-31,388017.0
2007-12-31,381440.0
2006-12-31,374697.0
2005-12-31,367815.0
2004-12-31,360797.0
2003-12-31,353649.0
2002-12-31,346407.0
2001-12-31,339114.0
2000-12-31,331801.0
1999-12-31,324501.0
1998-12-31,317214.0
1997-12-31,309904.0
1996-12-31,302511.0
1995-12-31,295003.0
1994-12-31,287370.0
1993-12-31,279652.0
1992-12-31,271935.0
1991-12-31,264332.0
1990-12-31,256929.0
1989-12-31,249743.0
1988-12-31,242758.0
1987-12-31,235982.0
1986-12-31,229413.0
1985-12-31,223041.0
1984-12-31,216885.0
1983-12-31,210925.0
1982-12-31,205053.0
1981-12-31,199128.0
1980-12-31,193049.0
1979-12-31,186778.0
1978-12-31,180350.0
1977-12-31,173818.0
1976-12-31,167275.0
1975-12-31,160791.0
1974-12-31,154387.0
1973-12-31,148058.0
1972-12-31,141827.0
1971-12-31,135707.0
1970-12-31,129719.0
1969-12-31,123865.0
1968-12-31,118166.0
1967-12-31,112670.0
1966-12-31,107440.0
1965-12-31,102516.0
1964-12-31,97924.0
1963-12-31,93641.0
1962-12-31,89595.0
1961-12-31,85679.0
1960-12-31,81817.0
