Date,Value
2013-12-31,753947.0
2012-12-31,741822.0
2011-12-31,729429.0
2010-12-31,716939.0
2009-12-31,704542.0
2008-12-31,692159.0
2007-12-31,679365.0
2006-12-31,665568.0
2005-12-31,650417.0
2004-12-31,633893.0
2003-12-31,616383.0
2002-12-31,598455.0
2001-12-31,580888.0
2000-12-31,564350.0
1999-12-31,548599.0
1998-12-31,533737.0
1997-12-31,521146.0
1996-12-31,512594.0
1995-12-31,509105.0
1994-12-31,511588.0
1993-12-31,519056.0
1992-12-31,528304.0
1991-12-31,534905.0
1990-12-31,535738.0
1989-12-31,529519.0
1988-12-31,517306.0
1987-12-31,501192.0
1986-12-31,484390.0
1985-12-31,469244.0
1984-12-31,456362.0
1983-12-31,445008.0
1982-12-31,434592.0
1981-12-31,424082.0
1980-12-31,412745.0
1979-12-31,400551.0
1978-12-31,387893.0
1977-12-31,374953.0
1976-12-31,362006.0
1975-12-31,349280.0
1974-12-31,336802.0
1973-12-31,324583.0
1972-12-31,312823.0
1971-12-31,301758.0
1970-12-31,291555.0
1969-12-31,282302.0
1968-12-31,273954.0
1967-12-31,266373.0
1966-12-31,259344.0
1965-12-31,252698.0
1964-12-31,246388.0
1963-12-31,240424.0
1962-12-31,234758.0
1961-12-31,229348.0
1960-12-31,224155.0
