Date,Value
2013-12-31,4616417.0
2012-12-31,4525209.0
2011-12-31,4436217.0
2010-12-31,4349921.0
2009-12-31,4266247.0
2008-12-31,4185106.0
2007-12-31,4106897.0
2006-12-31,4032102.0
2005-12-31,3960897.0
2004-12-31,3893595.0
2003-12-31,3829636.0
2002-12-31,3767248.0
2001-12-31,3704045.0
2000-12-31,3638316.0
1999-12-31,3569523.0
1998-12-31,3498140.0
1997-12-31,3424733.0
1996-12-31,3350299.0
1995-12-31,3275695.0
1994-12-31,3200633.0
1993-12-31,3125144.0
1992-12-31,3050789.0
1991-12-31,2979588.0
1990-12-31,2912824.0
1989-12-31,2851604.0
1988-12-31,2795175.0
1987-12-31,2740708.0
1986-12-31,2684214.0
1985-12-31,2622989.0
1984-12-31,2555936.0
1983-12-31,2484402.0
1982-12-31,2411118.0
1981-12-31,2340047.0
1980-12-31,2274089.0
1979-12-31,2213997.0
1978-12-31,2158987.0
1977-12-31,2108539.0
1976-12-31,2061620.0
1975-12-31,2017379.0
1974-12-31,1975917.0
1973-12-31,1937323.0
1972-12-31,1900665.0
1971-12-31,1864745.0
1970-12-31,1828710.0
1969-12-31,1792150.0
1968-12-31,1755260.0
1967-12-31,1718558.0
1966-12-31,1682874.0
1965-12-31,1648830.0
1964-12-31,1616515.0
1963-12-31,1585765.0
1962-12-31,1556656.0
1961-12-31,1529229.0
1960-12-31,1503501.0
