Date,Value
2013-12-31,35158304.0
2012-12-31,34754312.0
2011-12-31,34342780.0
2010-12-31,34005274.0
2009-12-31,33628571.0
2008-12-31,33245773.0
2007-12-31,32887928.0
2006-12-31,32570505.0
2005-12-31,32312000.0
2004-12-31,31995000.0
2003-12-31,31676000.0
2002-12-31,31362000.0
2001-12-31,31081900.0
2000-12-31,30769700.0
1999-12-31,30499200.0
1998-12-31,30247900.0
1997-12-31,29987200.0
1996-12-31,29671900.0
1995-12-31,29354000.0
1994-12-31,29111906.0
1993-12-31,28833410.0
1992-12-31,28519597.0
1991-12-31,28171682.0
1990-12-31,27791000.0
1989-12-31,27379000.0
1988-12-31,26895000.0
1987-12-31,26550000.0
1986-12-31,26204000.0
1985-12-31,25942000.0
1984-12-31,25702000.0
1983-12-31,25456000.0
1982-12-31,25202000.0
1981-12-31,24900000.0
1980-12-31,24593000.0
1979-12-31,24277000.0
1978-12-31,24036000.0
1977-12-31,23796000.0
1976-12-31,23518000.0
1975-12-31,23209000.0
1974-12-31,22774087.0
1973-12-31,22369408.0
1972-12-31,21993631.0
1971-12-31,21645535.0
1970-12-31,21324000.0
1969-12-31,21028000.0
1968-12-31,20744000.0
1967-12-31,20412000.0
1966-12-31,20048000.0
1965-12-31,19678000.0
1964-12-31,19325000.0
1963-12-31,18964000.0
1962-12-31,18614000.0
1961-12-31,18271000.0
1960-12-31,17909009.0
