Date,Value
2013-12-31,8081482.0
2012-12-31,7996861.0
2011-12-31,7912398.0
2010-12-31,7824909.0
2009-12-31,7743831.0
2008-12-31,7647675.0
2007-12-31,7551117.0
2006-12-31,7483934.0
2005-12-31,7437115.0
2004-12-31,7389625.0
2003-12-31,7339001.0
2002-12-31,7284753.0
2001-12-31,7229854.0
2000-12-31,7184250.0
1999-12-31,7143991.0
1998-12-31,7110001.0
1997-12-31,7088906.0
1996-12-31,7071850.0
1995-12-31,7040687.0
1994-12-31,6993795.0
1993-12-31,6938265.0
1992-12-31,6875364.0
1991-12-31,6799978.0
1990-12-31,6715519.0
1989-12-31,6646912.0
1988-12-31,6593386.0
1987-12-31,6545106.0
1986-12-31,6504124.0
1985-12-31,6470365.0
1984-12-31,6441865.0
1983-12-31,6418773.0
1982-12-31,6391309.0
1981-12-31,6354074.0
1980-12-31,6319408.0
1979-12-31,6294365.0
1978-12-31,6281738.0
1977-12-31,6281174.0
1976-12-31,6302504.0
1975-12-31,6338632.0
1974-12-31,6341405.0
1973-12-31,6307347.0
1972-12-31,6260956.0
1971-12-31,6213399.0
1970-12-31,6180877.0
1969-12-31,6136387.0
1968-12-31,6067714.0
1967-12-31,5991785.0
1966-12-31,5918002.0
1965-12-31,5856472.0
1964-12-31,5789228.0
1963-12-31,5694247.0
1962-12-31,5573815.0
1961-12-31,5434294.0
1960-12-31,5327827.0
