Date,Value
2013-12-31,17619708.0
2012-12-31,17464814.0
2011-12-31,17308449.0
2010-12-31,17150760.0
2009-12-31,16991729.0
2008-12-31,16831184.0
2007-12-31,16668892.0
2006-12-31,16504530.0
2005-12-31,16337749.0
2004-12-31,16168241.0
2003-12-31,15995658.0
2002-12-31,15819522.0
2001-12-31,15639289.0
2000-12-31,15454402.0
1999-12-31,15265536.0
1998-12-31,15072409.0
1997-12-31,14872458.0
1996-12-31,14662323.0
1995-12-31,14440103.0
1994-12-31,14204726.0
1993-12-31,13958378.0
1992-12-31,13706485.0
1991-12-31,13456476.0
1990-12-31,13213930.0
1989-12-31,12981032.0
1988-12-31,12757095.0
1987-12-31,12541298.0
1986-12-31,12331704.0
1985-12-31,12126956.0
1984-12-31,11926647.0
1983-12-31,11731654.0
1982-12-31,11543263.0
1981-12-31,11363219.0
1980-12-31,11192384.0
1979-12-31,11031280.0
1978-12-31,10878343.0
1977-12-31,10729757.0
1976-12-31,10580399.0
1975-12-31,10426432.0
1974-12-31,10266278.0
1973-12-31,10100403.0
1972-12-31,9929560.0
1971-12-31,9755352.0
1970-12-31,9578923.0
1969-12-31,9400705.0
1968-12-31,9220119.0
1967-12-31,9036236.0
1966-12-31,8847757.0
1965-12-31,8654071.0
1964-12-31,8455039.0
1963-12-31,8251999.0
1962-12-31,8047690.0
1961-12-31,7845746.0
1960-12-31,7649026.0
