Date,Value
2013-12-31,22253959.0
2012-12-31,21699631.0
2011-12-31,21156272.0
2010-12-31,20624343.0
2009-12-31,20103945.0
2008-12-31,19595026.0
2007-12-31,19097676.0
2006-12-31,18611937.0
2005-12-31,18137734.0
2004-12-31,17674960.0
2003-12-31,17223277.0
2002-12-31,16782044.0
2001-12-31,16350440.0
2000-12-31,15927713.0
1999-12-31,15513653.0
1998-12-31,15107909.0
1997-12-31,14709426.0
1996-12-31,14316949.0
1995-12-31,13929575.0
1994-12-31,13546948.0
1993-12-31,13169247.0
1992-12-31,12796831.0
1991-12-31,12430339.0
1990-12-31,12070359.0
1989-12-31,11716975.0
1988-12-31,11370394.0
1987-12-31,11031515.0
1986-12-31,10701458.0
1985-12-31,10381098.0
1984-12-31,10070779.0
1983-12-31,9770555.0
1982-12-31,9480638.0
1981-12-31,9201146.0
1980-12-31,8932121.0
1979-12-31,8673666.0
1978-12-31,8425707.0
1977-12-31,8187840.0
1976-12-31,7959500.0
1975-12-31,7740196.0
1974-12-31,7529704.0
1973-12-31,7327874.0
1972-12-31,7134374.0
1971-12-31,6948847.0
1970-12-31,6770967.0
1969-12-31,6600479.0
1968-12-31,6437157.0
1967-12-31,6280743.0
1966-12-31,6130990.0
1965-12-31,5987671.0
1964-12-31,5850454.0
1963-12-31,5719135.0
1962-12-31,5593768.0
1961-12-31,5474509.0
1960-12-31,5361367.0
