Date,Value
2013-12-31,4447632.0
2012-12-31,4337051.0
2011-12-31,4225359.0
2010-12-31,4111715.0
2009-12-31,3995146.0
2008-12-31,3876475.0
2007-12-31,3758858.0
2006-12-31,3646653.0
2005-12-31,3542867.0
2004-12-31,3448868.0
2003-12-31,3363418.0
2002-12-31,3283719.0
2001-12-31,3205636.0
2000-12-31,3126204.0
1999-12-31,3044444.0
1998-12-31,2961357.0
1997-12-31,2878333.0
1996-12-31,2797572.0
1995-12-31,2720633.0
1994-12-31,2647817.0
1993-12-31,2578424.0
1992-12-31,2511819.0
1991-12-31,2447020.0
1990-12-31,2383283.0
1989-12-31,2320488.0
1988-12-31,2258785.0
1987-12-31,2198025.0
1986-12-31,2138090.0
1985-12-31,2078914.0
1984-12-31,2020333.0
1983-12-31,1962375.0
1982-12-31,1905411.0
1981-12-31,1849970.0
1980-12-31,1796412.0
1979-12-31,1744922.0
1978-12-31,1695348.0
1977-12-31,1647320.0
1976-12-31,1600295.0
1975-12-31,1553903.0
1974-12-31,1508000.0
1973-12-31,1462767.0
1972-12-31,1418556.0
1971-12-31,1375876.0
1970-12-31,1335090.0
1969-12-31,1296306.0
1968-12-31,1259394.0
1967-12-31,1224187.0
1966-12-31,1190424.0
1965-12-31,1157905.0
1964-12-31,1126573.0
1963-12-31,1096468.0
1962-12-31,1067589.0
1961-12-31,1039958.0
1960-12-31,1013581.0
