Date,Value
2012-12-31,717503.0
2011-12-31,700216.0
2010-12-31,683081.0
2009-12-31,666097.0
2008-12-31,649291.0
2007-12-31,632736.0
2006-12-31,616526.0
2005-12-31,600733.0
2004-12-31,585389.0
2003-12-31,570491.0
2002-12-31,556028.0
2001-12-31,541976.0
2000-12-31,528312.0
1999-12-31,515028.0
1998-12-31,502128.0
1997-12-31,489627.0
1996-12-31,477548.0
1995-12-31,465895.0
1994-12-31,454665.0
1993-12-31,443820.0
1992-12-31,433286.0
1991-12-31,422969.0
1990-12-31,412790.0
1989-12-31,402707.0
1988-12-31,392705.0
1987-12-31,382771.0
1986-12-31,372895.0
1985-12-31,363068.0
1984-12-31,353345.0
1983-12-31,343708.0
1982-12-31,333998.0
1981-12-31,323998.0
1980-12-31,313598.0
1979-12-31,302678.0
1978-12-31,291395.0
1977-12-31,280248.0
1976-12-31,269912.0
1975-12-31,260863.0
1974-12-31,253302.0
1973-12-31,247059.0
1972-12-31,241769.0
1971-12-31,236885.0
1970-12-31,232000.0
1969-12-31,226997.0
1968-12-31,221983.0
1967-12-31,217054.0
1966-12-31,212381.0
1965-12-31,208080.0
1964-12-31,204150.0
1963-12-31,200505.0
1962-12-31,197073.0
1961-12-31,193754.0
1960-12-31,190475.0
