Date,Value
2013-12-31,498897.0
2012-12-31,494401.0
2011-12-31,490556.0
2010-12-31,487601.0
2009-12-31,485714.0
2008-12-31,484651.0
2007-12-31,483713.0
2006-12-31,481940.0
2005-12-31,478651.0
2004-12-31,473577.0
2003-12-31,466939.0
2002-12-31,459140.0
2001-12-31,450812.0
2000-12-31,442426.0
1999-12-31,434168.0
1998-12-31,425932.0
1997-12-31,417562.0
1996-12-31,408790.0
1995-12-31,399477.0
1994-12-31,389504.0
1993-12-31,379100.0
1992-12-31,368873.0
1991-12-31,359642.0
1990-12-31,351960.0
1989-12-31,346209.0
1988-12-31,342157.0
1987-12-31,338984.0
1986-12-31,335517.0
1985-12-31,330966.0
1984-12-31,324815.0
1983-12-31,317457.0
1982-12-31,310092.0
1981-12-31,304432.0
1980-12-31,301591.0
1979-12-31,302133.0
1978-12-31,305363.0
1977-12-31,309609.0
1976-12-31,312516.0
1975-12-31,312413.0
1974-12-31,308699.0
1973-12-31,301968.0
1972-12-31,293218.0
1971-12-31,283990.0
1970-12-31,275426.0
1969-12-31,267814.0
1968-12-31,260848.0
1967-12-31,254371.0
1966-12-31,248050.0
1965-12-31,241659.0
1964-12-31,235189.0
1963-12-31,228818.0
1962-12-31,222725.0
1961-12-31,217150.0
1960-12-31,212247.0
