Date,Value
2013-12-31,1141166.0
2012-12-31,1128994.0
2011-12-31,1116513.0
2010-12-31,1103685.0
2009-12-31,1090553.0
2008-12-31,1077089.0
2007-12-31,1063095.0
2006-12-31,1048314.0
2005-12-31,1032586.0
2004-12-31,1015820.0
2003-12-31,998142.0
2002-12-31,979877.0
2001-12-31,961481.0
2000-12-31,943287.0
1999-12-31,925491.0
1998-12-31,908040.0
1997-12-31,890733.0
1996-12-31,873246.0
1995-12-31,855389.0
1994-12-31,837166.0
1993-12-31,818814.0
1992-12-31,800660.0
1991-12-31,783138.0
1990-12-31,766611.0
1989-12-31,751047.0
1988-12-31,736477.0
1987-12-31,723380.0
1986-12-31,712340.0
1985-12-31,703693.0
1984-12-31,697717.0
1983-12-31,694074.0
1982-12-31,691711.0
1981-12-31,689173.0
1980-12-31,685406.0
1979-12-31,680013.0
1978-12-31,673252.0
1977-12-31,665528.0
1976-12-31,657526.0
1975-12-31,649755.0
1974-12-31,642335.0
1973-12-31,635109.0
1972-12-31,628000.0
1971-12-31,620860.0
1970-12-31,613619.0
1969-12-31,606117.0
1968-12-31,598491.0
1967-12-31,591304.0
1966-12-31,585311.0
1965-12-31,580971.0
1964-12-31,578629.0
1963-12-31,577912.0
1962-12-31,577691.0
1961-12-31,576395.0
1960-12-31,572929.0
