Date,Value
2013-12-31,80621788.0
2012-12-31,80425823.0
2011-12-31,81797673.0
2010-12-31,81776930.0
2009-12-31,81902307.0
2008-12-31,82110097.0
2007-12-31,82266372.0
2006-12-31,82376451.0
2005-12-31,82469422.0
2004-12-31,82516260.0
2003-12-31,82534176.0
2002-12-31,82488495.0
2001-12-31,82349925.0
2000-12-31,82211508.0
1999-12-31,82100243.0
1998-12-31,82047195.0
1997-12-31,82034771.0
1996-12-31,81914831.0
1995-12-31,81678051.0
1994-12-31,81438348.0
1993-12-31,81156363.0
1992-12-31,80624598.0
1991-12-31,80013896.0
1990-12-31,79433029.0
1989-12-31,78751283.0
1988-12-31,78144619.0
1987-12-31,77839920.0
1986-12-31,77720436.0
1985-12-31,77684873.0
1984-12-31,77858685.0
1983-12-31,78128282.0
1982-12-31,78333366.0
1981-12-31,78407907.0
1980-12-31,78288576.0
1979-12-31,78126350.0
1978-12-31,78091820.0
1977-12-31,78159814.0
1976-12-31,78336950.0
1975-12-31,78673554.0
1974-12-31,78967433.0
1973-12-31,78936666.0
1972-12-31,78688452.0
1971-12-31,78312842.0
1970-12-31,78169289.0
1969-12-31,77909682.0
1968-12-31,77294314.0
1967-12-31,76951336.0
1966-12-31,76600311.0
1965-12-31,75963695.0
1964-12-31,75318337.0
1963-12-31,74714353.0
1962-12-31,74025784.0
1961-12-31,73377632.0
1960-12-31,72814900.0
