Date,Value
2013-12-31,872932.0
2012-12-31,859652.0
2011-12-31,846646.0
2010-12-31,834036.0
2009-12-31,821865.0
2008-12-31,810100.0
2007-12-31,798690.0
2006-12-31,787544.0
2005-12-31,776585.0
2004-12-31,765776.0
2003-12-31,755085.0
2002-12-31,744434.0
2001-12-31,733732.0
2000-12-31,722887.0
1999-12-31,711652.0
1998-12-31,699922.0
1997-12-31,687897.0
1996-12-31,675891.0
1995-12-31,663999.0
1994-12-31,652793.0
1993-12-31,641900.0
1992-12-31,629373.0
1991-12-31,612589.0
1990-12-31,589924.0
1989-12-31,560124.0
1988-12-31,524393.0
1987-12-31,486555.0
1986-12-31,451942.0
1985-12-31,424227.0
1984-12-31,405229.0
1983-12-31,393443.0
1982-12-31,385184.0
1981-12-31,375041.0
1980-12-31,359247.0
1979-12-31,336479.0
1978-12-31,308385.0
1977-12-31,277750.0
1976-12-31,248710.0
1975-12-31,224244.0
1974-12-31,205197.0
1973-12-31,190560.0
1972-12-31,179224.0
1971-12-31,169374.0
1970-12-31,159667.0
1969-12-31,149887.0
1968-12-31,140459.0
1967-12-31,131401.0
1966-12-31,122866.0
1965-12-31,114963.0
1964-12-31,107584.0
1963-12-31,100622.0
1962-12-31,94200.0
1961-12-31,88499.0
1960-12-31,83636.0
