Date,Value
2013-12-31,5613706.0
2012-12-31,5591572.0
2011-12-31,5570572.0
2010-12-31,5547683.0
2009-12-31,5523095.0
2008-12-31,5493621.0
2007-12-31,5461438.0
2006-12-31,5437272.0
2005-12-31,5419432.0
2004-12-31,5404523.0
2003-12-31,5390574.0
2002-12-31,5375931.0
2001-12-31,5358783.0
2000-12-31,5339616.0
1999-12-31,5321799.0
1998-12-31,5304219.0
1997-12-31,5284991.0
1996-12-31,5263074.0
1995-12-31,5233373.0
1994-12-31,5206180.0
1993-12-31,5188628.0
1992-12-31,5171370.0
1991-12-31,5154298.0
1990-12-31,5140939.0
1989-12-31,5132594.0
1988-12-31,5129516.0
1987-12-31,5127024.0
1986-12-31,5120534.0
1985-12-31,5113691.0
1984-12-31,5111619.0
1983-12-31,5114297.0
1982-12-31,5117810.0
1981-12-31,5121572.0
1980-12-31,5123027.0
1979-12-31,5116801.0
1978-12-31,5104248.0
1977-12-31,5088419.0
1976-12-31,5072596.0
1975-12-31,5059862.0
1974-12-31,5045297.0
1973-12-31,5021861.0
1972-12-31,4991596.0
1971-12-31,4963126.0
1970-12-31,4928757.0
1969-12-31,4891860.0
1968-12-31,4864883.0
1967-12-31,4835354.0
1966-12-31,4797381.0
1965-12-31,4759012.0
1964-12-31,4722072.0
1963-12-31,4684483.0
1962-12-31,4647727.0
1961-12-31,4611687.0
1960-12-31,4579603.0
