Date,Value
2013-12-31,39208194.0
2012-12-31,38481705.0
2011-12-31,37762962.0
2010-12-31,37062820.0
2009-12-31,36383302.0
2008-12-31,35725377.0
2007-12-31,35097043.0
2006-12-31,34507214.0
2005-12-31,33960903.0
2004-12-31,33461345.0
2003-12-31,33003442.0
2002-12-31,32572977.0
2001-12-31,32150198.0
2000-12-31,31719449.0
1999-12-31,31276295.0
1998-12-31,30820435.0
1997-12-31,30345466.0
1996-12-31,29845208.0
1995-12-31,29315463.0
1994-12-31,28752749.0
1993-12-31,28157560.0
1992-12-31,27535151.0
1991-12-31,26893663.0
1990-12-31,26239708.0
1989-12-31,25576596.0
1988-12-31,24904931.0
1987-12-31,24225748.0
1986-12-31,23539383.0
1985-12-31,22847437.0
1984-12-31,22150483.0
1983-12-31,21453278.0
1982-12-31,20766568.0
1981-12-31,20103931.0
1980-12-31,19475204.0
1979-12-31,18884689.0
1978-12-31,18330535.0
1977-12-31,17808536.0
1976-12-31,17311457.0
1975-12-31,16833516.0
1974-12-31,16374671.0
1973-12-31,15935594.0
1972-12-31,15511892.0
1971-12-31,15098212.0
1970-12-31,14690855.0
1969-12-31,14286826.0
1968-12-31,13887045.0
1967-12-31,13496577.0
1966-12-31,13122912.0
1965-12-31,12771084.0
1964-12-31,12443175.0
1963-12-31,12136371.0
1962-12-31,11844928.0
1961-12-31,11560650.0
1960-12-31,11277757.0
