Date,Value
2013-12-31,46647421.0
2012-12-31,46761264.0
2011-12-31,46742697.0
2010-12-31,46576897.0
2009-12-31,46362946.0
2008-12-31,45954106.0
2007-12-31,45226803.0
2006-12-31,44397319.0
2005-12-31,43653155.0
2004-12-31,42921895.0
2003-12-31,42187645.0
2002-12-31,41431558.0
2001-12-31,40756001.0
2000-12-31,40263216.0
1999-12-31,39926268.0
1998-12-31,39721108.0
1997-12-31,39582413.0
1996-12-31,39478186.0
1995-12-31,39387017.0
1994-12-31,39294967.0
1993-12-31,39189400.0
1992-12-31,39067745.0
1991-12-31,38939049.0
1990-12-31,38850435.0
1989-12-31,38791473.0
1988-12-31,38715849.0
1987-12-31,38630820.0
1986-12-31,38535617.0
1985-12-31,38418817.0
1984-12-31,38278575.0
1983-12-31,38122429.0
1982-12-31,37942805.0
1981-12-31,37740556.0
1980-12-31,37439035.0
1979-12-31,37201123.0
1978-12-31,36872506.0
1977-12-31,36370050.0
1976-12-31,35939437.0
1975-12-31,35530725.0
1974-12-31,35154338.0
1973-12-31,34817071.0
1972-12-31,34502705.0
1971-12-31,34191678.0
1970-12-31,33814531.0
1969-12-31,33441054.0
1968-12-31,33113134.0
1967-12-31,32682947.0
1966-12-31,32283194.0
1965-12-31,31954292.0
1964-12-31,31609195.0
1963-12-31,31296651.0
1962-12-31,31023366.0
1961-12-31,30739250.0
1960-12-31,30455000.0
