Date,Value
2013-12-31,94100756.0
2012-12-31,91728849.0
2011-12-31,89393063.0
2010-12-31,87095281.0
2009-12-31,84838032.0
2008-12-31,82621190.0
2007-12-31,80440708.0
2006-12-31,78290649.0
2005-12-31,76167240.0
2004-12-31,74066147.0
2003-12-31,71989666.0
2002-12-31,69948344.0
2001-12-31,67956866.0
2000-12-31,66024199.0
1999-12-31,64158887.0
1998-12-31,62353942.0
1997-12-31,60584273.0
1996-12-31,58815116.0
1995-12-31,57023519.0
1994-12-31,55199953.0
1993-12-31,53357867.0
1992-12-31,51525658.0
1991-12-31,49743883.0
1990-12-31,48042755.0
1989-12-31,46435325.0
1988-12-31,44916621.0
1987-12-31,43477401.0
1986-12-31,42100969.0
1985-12-31,40777189.0
1984-12-31,39493610.0
1983-12-31,38259330.0
1982-12-31,37110033.0
1981-12-31,36094424.0
1980-12-31,35241209.0
1979-12-31,34570544.0
1978-12-31,34054601.0
1977-12-31,33615472.0
1976-12-31,33145955.0
1975-12-31,32569908.0
1974-12-31,31856458.0
1973-12-31,31029594.0
1972-12-31,30135531.0
1971-12-31,29246389.0
1970-12-31,28414999.0
1969-12-31,27653511.0
1968-12-31,26945326.0
1967-12-31,26280676.0
1966-12-31,25641137.0
1965-12-31,25013551.0
1964-12-31,24396981.0
1963-12-31,23798397.0
1962-12-31,23221344.0
1961-12-31,22671134.0
1960-12-31,22151218.0
