Date,Value
2013-12-31,5439407.0
2012-12-31,5413971.0
2011-12-31,5388272.0
2010-12-31,5363352.0
2009-12-31,5338871.0
2008-12-31,5313399.0
2007-12-31,5288720.0
2006-12-31,5266268.0
2005-12-31,5246096.0
2004-12-31,5228172.0
2003-12-31,5213014.0
2002-12-31,5200598.0
2001-12-31,5188008.0
2000-12-31,5176209.0
1999-12-31,5165474.0
1998-12-31,5153498.0
1997-12-31,5139835.0
1996-12-31,5124573.0
1995-12-31,5107790.0
1994-12-31,5088333.0
1993-12-31,5066447.0
1992-12-31,5041992.0
1991-12-31,5013740.0
1990-12-31,4986431.0
1989-12-31,4964371.0
1988-12-31,4946481.0
1987-12-31,4932123.0
1986-12-31,4918154.0
1985-12-31,4902206.0
1984-12-31,4881803.0
1983-12-31,4855787.0
1982-12-31,4826933.0
1981-12-31,4799964.0
1980-12-31,4779535.0
1979-12-31,4764690.0
1978-12-31,4752528.0
1977-12-31,4738902.0
1976-12-31,4725664.0
1975-12-31,4711440.0
1974-12-31,4690574.0
1973-12-31,4666081.0
1972-12-31,4639657.0
1971-12-31,4612124.0
1970-12-31,4606307.0
1969-12-31,4623785.0
1968-12-31,4626469.0
1967-12-31,4605744.0
1966-12-31,4580869.0
1965-12-31,4563732.0
1964-12-31,4548543.0
1963-12-31,4523309.0
1962-12-31,4491443.0
1961-12-31,4461005.0
1960-12-31,4429634.0
