Date,Value
2013-12-31,881065.0
2012-12-31,874742.0
2011-12-31,867921.0
2010-12-31,860559.0
2009-12-31,852479.0
2008-12-31,843851.0
2007-12-31,835392.0
2006-12-31,828060.0
2005-12-31,822484.0
2004-12-31,818995.0
2003-12-31,817224.0
2002-12-31,816237.0
2001-12-31,814700.0
2000-12-31,811647.0
1999-12-31,806857.0
1998-12-31,800616.0
1997-12-31,793098.0
1996-12-31,784647.0
1995-12-31,775587.0
1994-12-31,765664.0
1993-12-31,754923.0
1992-12-31,744340.0
1991-12-31,735209.0
1990-12-31,728339.0
1989-12-31,724355.0
1988-12-31,722707.0
1987-12-31,721594.0
1986-12-31,718493.0
1985-12-31,711663.0
1984-12-31,700394.0
1983-12-31,685422.0
1982-12-31,668219.0
1981-12-31,650966.0
1980-12-31,635256.0
1979-12-31,621537.0
1978-12-31,609344.0
1977-12-31,598256.0
1976-12-31,587522.0
1975-12-31,576592.0
1974-12-31,565386.0
1973-12-31,554109.0
1972-12-31,542811.0
1971-12-31,531601.0
1970-12-31,520529.0
1969-12-31,509659.0
1968-12-31,498887.0
1967-12-31,487911.0
1966-12-31,476329.0
1965-12-31,463884.0
1964-12-31,450452.0
1963-12-31,436208.0
1962-12-31,421576.0
1961-12-31,407152.0
1960-12-31,393383.0
