Date,Value
2013-12-31,66028467.0
2012-12-31,65676758.0
2011-12-31,65343588.0
2010-12-31,65023142.0
2009-12-31,64702921.0
2008-12-31,64371099.0
2007-12-31,64012572.0
2006-12-31,63617975.0
2005-12-31,63176246.0
2004-12-31,62702121.0
2003-12-31,62242474.0
2002-12-31,61803229.0
2001-12-31,61355725.0
2000-12-31,60911057.0
1999-12-31,60495470.0
1998-12-31,60185178.0
1997-12-31,59963792.0
1996-12-31,59752020.0
1995-12-31,59540711.0
1994-12-31,59325793.0
1993-12-31,59105073.0
1992-12-31,58849212.0
1991-12-31,58557072.0
1990-12-31,58409202.0
1989-12-31,58113622.0
1988-12-31,57803824.0
1987-12-31,57482783.0
1986-12-31,57155165.0
1985-12-31,56825158.0
1984-12-31,56489874.0
1983-12-31,56149874.0
1982-12-31,55816654.0
1981-12-31,55505282.0
1980-12-31,55224670.0
1979-12-31,54982879.0
1978-12-31,54772084.0
1977-12-31,54565943.0
1976-12-31,54328016.0
1975-12-31,54033095.0
1974-12-31,53666947.0
1973-12-31,53239101.0
1972-12-31,52776806.0
1971-12-31,52320049.0
1970-12-31,51895793.0
1969-12-31,51518731.0
1968-12-31,51175036.0
1967-12-31,50829214.0
1966-12-31,50430631.0
1965-12-31,49945471.0
1964-12-31,49361165.0
1963-12-31,48697015.0
1962-12-31,47990159.0
1961-12-31,47293811.0
1960-12-31,46647521.0
