Date,Value
2013-12-31,1671711.0
2012-12-31,1632572.0
2011-12-31,1594034.0
2010-12-31,1556222.0
2009-12-31,1519155.0
2008-12-31,1482843.0
2007-12-31,1447388.0
2006-12-31,1412907.0
2005-12-31,1379465.0
2004-12-31,1347125.0
2003-12-31,1315820.0
2002-12-31,1285318.0
2001-12-31,1255299.0
2000-12-31,1225527.0
1999-12-31,1195919.0
1998-12-31,1166525.0
1997-12-31,1137412.0
1996-12-31,1108698.0
1995-12-31,1080477.0
1994-12-31,1052772.0
1993-12-31,1025559.0
1992-12-31,998823.0
1991-12-31,972539.0
1990-12-31,946703.0
1989-12-31,921314.0
1988-12-31,896429.0
1987-12-31,872158.0
1986-12-31,848654.0
1985-12-31,826025.0
1984-12-31,804319.0
1983-12-31,783527.0
1982-12-31,763639.0
1981-12-31,744624.0
1980-12-31,726454.0
1979-12-31,709092.0
1978-12-31,692535.0
1977-12-31,676829.0
1976-12-31,662036.0
1975-12-31,648174.0
1974-12-31,635318.0
1973-12-31,623375.0
1972-12-31,611990.0
1971-12-31,600692.0
1970-12-31,589165.0
1969-12-31,577241.0
1968-12-31,565080.0
1967-12-31,553098.0
1966-12-31,541895.0
1965-12-31,531901.0
1964-12-31,523236.0
1963-12-31,515762.0
1962-12-31,509348.0
1961-12-31,503762.0
1960-12-31,498823.0
