Date,Value
2013-12-31,25904598.0
2012-12-31,25366462.0
2011-12-31,24820706.0
2010-12-31,24262901.0
2009-12-31,23691533.0
2008-12-31,23110139.0
2007-12-31,22525659.0
2006-12-31,21947779.0
2005-12-31,21384034.0
2004-12-31,20835514.0
2003-12-31,20301686.0
2002-12-31,19786307.0
2001-12-31,19293392.0
2000-12-31,18825034.0
1999-12-31,18384302.0
1998-12-31,17968830.0
1997-12-31,17568461.0
1996-12-31,17169151.0
1995-12-31,16760926.0
1994-12-31,16339278.0
1993-12-31,15907265.0
1992-12-31,15471695.0
1991-12-31,15043053.0
1990-12-31,14628693.0
1989-12-31,14233006.0
1988-12-31,13853171.0
1987-12-31,13480997.0
1986-12-31,13104616.0
1985-12-31,12716887.0
1984-12-31,12311805.0
1983-12-31,11895742.0
1982-12-31,11488683.0
1981-12-31,11118132.0
1980-12-31,10802497.0
1979-12-31,10551189.0
1978-12-31,10354855.0
1977-12-31,10190202.0
1976-12-31,10023738.0
1975-12-31,9831636.0
1974-12-31,9604475.0
1973-12-31,9350286.0
1972-12-31,9083737.0
1971-12-31,8827429.0
1970-12-31,8597133.0
1969-12-31,8397508.0
1968-12-31,8221194.0
1967-12-31,8057629.0
1966-12-31,7891194.0
1965-12-31,7710761.0
1964-12-31,7513510.0
1963-12-31,7303664.0
1962-12-31,7085698.0
1961-12-31,6866780.0
1960-12-31,6652516.0
