Date,Value
2013-12-31,11745189.0
2012-12-31,11451273.0
2011-12-31,11161530.0
2010-12-31,10876033.0
2009-12-31,10593248.0
2008-12-31,10314678.0
2007-12-31,10046967.0
2006-12-31,9798963.0
2005-12-31,9576331.0
2004-12-31,9379621.0
2003-12-31,9204581.0
2002-12-31,9045748.0
2001-12-31,8895353.0
2000-12-31,8746128.0
1999-12-31,8600911.0
1998-12-31,8457221.0
1997-12-31,8296478.0
1996-12-31,8094751.0
1995-12-31,7837173.0
1994-12-31,7514053.0
1993-12-31,7136110.0
1992-12-31,6734242.0
1991-12-31,6351760.0
1990-12-31,6020113.0
1989-12-31,5750861.0
1988-12-31,5535918.0
1987-12-31,5363069.0
1986-12-31,5211764.0
1985-12-31,5067026.0
1984-12-31,4925668.0
1983-12-31,4793275.0
1982-12-31,4673637.0
1981-12-31,4573076.0
1980-12-31,4495479.0
1979-12-31,4440982.0
1978-12-31,4405432.0
1977-12-31,4383225.0
1976-12-31,4366830.0
1975-12-31,4350256.0
1974-12-31,4331801.0
1973-12-31,4311157.0
1972-12-31,4285526.0
1971-12-31,4252126.0
1970-12-31,4209201.0
1969-12-31,4154897.0
1968-12-31,4089829.0
1967-12-31,4017946.0
1966-12-31,3944983.0
1965-12-31,3875205.0
1964-12-31,3809929.0
1963-12-31,3748272.0
1962-12-31,3689661.0
1961-12-31,3632778.0
1960-12-31,3576684.0
