Date,Value
2013-12-31,11032328.0
2012-12-31,11092771.0
2011-12-31,11123213.0
2010-12-31,11153454.0
2009-12-31,11187085.0
2008-12-31,11186439.0
2007-12-31,11163002.0
2006-12-31,11127947.0
2005-12-31,11092913.0
2004-12-31,11055729.0
2003-12-31,11018324.0
2002-12-31,10983723.0
2001-12-31,10951764.0
2000-12-31,10917482.0
1999-12-31,10882580.0
1998-12-31,10834880.0
1997-12-31,10776504.0
1996-12-31,10709173.0
1995-12-31,10634385.0
1994-12-31,10553035.0
1993-12-31,10465528.0
1992-12-31,10369866.0
1991-12-31,10256292.0
1990-12-31,10156902.0
1989-12-31,10089498.0
1988-12-31,10036983.0
1987-12-31,10000595.0
1986-12-31,9967213.0
1985-12-31,9934300.0
1984-12-31,9895801.0
1983-12-31,9846627.0
1982-12-31,9789513.0
1981-12-31,9729350.0
1980-12-31,9642505.0
1979-12-31,9548258.0
1978-12-31,9429959.0
1977-12-31,9308479.0
1976-12-31,9188150.0
1975-12-31,9046541.0
1974-12-31,8962022.0
1973-12-31,8929086.0
1972-12-31,8888628.0
1971-12-31,8831036.0
1970-12-31,8792806.0
1969-12-31,8772764.0
1968-12-31,8740765.0
1967-12-31,8684088.0
1966-12-31,8613651.0
1965-12-31,8550333.0
1964-12-31,8510429.0
1963-12-31,8479625.0
1962-12-31,8448233.0
1961-12-31,8398050.0
1960-12-31,8331725.0
