Date,Value
2013-12-31,105897.0
2012-12-31,105483.0
2011-12-31,105074.0
2010-12-31,104677.0
2009-12-31,104296.0
2008-12-31,103932.0
2007-12-31,103586.0
2006-12-31,103260.0
2005-12-31,102951.0
2004-12-31,102655.0
2003-12-31,102369.0
2002-12-31,102099.0
2001-12-31,101849.0
2000-12-31,101620.0
1999-12-31,101441.0
1998-12-31,101302.0
1997-12-31,101125.0
1996-12-31,100796.0
1995-12-31,100253.0
1994-12-31,99403.0
1993-12-31,98302.0
1992-12-31,97201.0
1991-12-31,96455.0
1990-12-31,96286.0
1989-12-31,96871.0
1988-12-31,98063.0
1987-12-31,99381.0
1986-12-31,100146.0
1985-12-31,99907.0
1984-12-31,98440.0
1983-12-31,95981.0
1982-12-31,93091.0
1981-12-31,90575.0
1980-12-31,89004.0
1979-12-31,88571.0
1978-12-31,89070.0
1977-12-31,90187.0
1976-12-31,91435.0
1975-12-31,92453.0
1974-12-31,93151.0
1973-12-31,93629.0
1972-12-31,93937.0
1971-12-31,94180.0
1970-12-31,94430.0
1969-12-31,94682.0
1968-12-31,94875.0
1967-12-31,94962.0
1966-12-31,94878.0
1965-12-31,94579.0
1964-12-31,94066.0
1963-12-31,93354.0
1962-12-31,92424.0
1961-12-31,91260.0
1960-12-31,89861.0
