Date,Value
2013-12-31,799613.0
2012-12-31,795369.0
2011-12-31,790882.0
2010-12-31,786126.0
2009-12-31,781055.0
2008-12-31,775739.0
2007-12-31,770407.0
2006-12-31,765367.0
2005-12-31,760834.0
2004-12-31,756939.0
2003-12-31,753612.0
2002-12-31,750629.0
2001-12-31,747657.0
2000-12-31,744471.0
1999-12-31,741046.0
1998-12-31,737526.0
1997-12-31,734059.0
1996-12-31,730865.0
1995-12-31,728136.0
1994-12-31,725839.0
1993-12-31,724014.0
1992-12-31,723008.0
1991-12-31,723259.0
1990-12-31,725043.0
1989-12-31,728382.0
1988-12-31,733057.0
1987-12-31,738779.0
1986-12-31,745133.0
1985-12-31,751720.0
1984-12-31,758580.0
1983-12-31,765512.0
1982-12-31,771596.0
1981-12-31,775662.0
1980-12-31,776927.0
1979-12-31,774818.0
1978-12-31,769637.0
1977-12-31,762549.0
1976-12-31,755241.0
1975-12-31,748877.0
1974-12-31,743984.0
1973-12-31,740041.0
1972-12-31,735896.0
1971-12-31,729872.0
1970-12-31,720816.0
1969-12-31,708356.0
1968-12-31,693051.0
1967-12-31,675811.0
1966-12-31,657975.0
1965-12-31,640541.0
1964-12-31,623794.0
1963-12-31,607528.0
1962-12-31,591665.0
1961-12-31,575976.0
1960-12-31,560296.0
