Date,Value
2013-12-31,7187500.0
2012-12-31,7154600.0
2011-12-31,7071600.0
2010-12-31,7024200.0
2009-12-31,6972800.0
2008-12-31,6957800.0
2007-12-31,6916300.0
2006-12-31,6857100.0
2005-12-31,6813200.0
2004-12-31,6783500.0
2003-12-31,6730800.0
2002-12-31,6744100.0
2001-12-31,6714300.0
2000-12-31,6665000.0
1999-12-31,6606500.0
1998-12-31,6543700.0
1997-12-31,6489300.0
1996-12-31,6435500.0
1995-12-31,6156100.0
1994-12-31,6035400.0
1993-12-31,5901000.0
1992-12-31,5800500.0
1991-12-31,5752000.0
1990-12-31,5704500.0
1989-12-31,5686200.0
1988-12-31,5627600.0
1987-12-31,5590500.0
1986-12-31,5524600.0
1985-12-31,5456200.0
1984-12-31,5397900.0
1983-12-31,5345100.0
1982-12-31,5264500.0
1981-12-31,5183400.0
1980-12-31,5063100.0
1979-12-31,4929700.0
1978-12-31,4667500.0
1977-12-31,4583700.0
1976-12-31,4518000.0
1975-12-31,4461600.0
1974-12-31,4334200.0
1973-12-31,4241600.0
1972-12-31,4123600.0
1971-12-31,4045300.0
1970-12-31,3959000.0
1969-12-31,3863900.0
1968-12-31,3802700.0
1967-12-31,3722800.0
1966-12-31,3629900.0
1965-12-31,3597900.0
1964-12-31,3504600.0
1963-12-31,3420900.0
1962-12-31,3305200.0
1961-12-31,3168100.0
1960-12-31,3075605.0
