Date,Value
2013-12-31,8097688.0
2012-12-31,7935846.0
2011-12-31,7776669.0
2010-12-31,7621204.0
2009-12-31,7469844.0
2008-12-31,7322368.0
2007-12-31,7178436.0
2006-12-31,7037428.0
2005-12-31,6898825.0
2004-12-31,6762426.0
2003-12-31,6628171.0
2002-12-31,6495801.0
2001-12-31,6365040.0
2000-12-31,6235561.0
1999-12-31,6107385.0
1998-12-31,5980152.0
1997-12-31,5852719.0
1996-12-31,5723639.0
1995-12-31,5591935.0
1994-12-31,5457189.0
1993-12-31,5319841.0
1992-12-31,5180884.0
1991-12-31,5041781.0
1990-12-31,4903694.0
1989-12-31,4766961.0
1988-12-31,4631575.0
1987-12-31,4497954.0
1986-12-31,4366493.0
1985-12-31,4237518.0
1984-12-31,4111424.0
1983-12-31,3988404.0
1982-12-31,3868314.0
1981-12-31,3750850.0
1980-12-31,3635862.0
1979-12-31,3523279.0
1978-12-31,3413422.0
1977-12-31,3306985.0
1976-12-31,3204880.0
1975-12-31,3107735.0
1974-12-31,3015607.0
1973-12-31,2928191.0
1972-12-31,2845261.0
1971-12-31,2766445.0
1970-12-31,2691309.0
1969-12-31,2620014.0
1968-12-31,2552200.0
1967-12-31,2486288.0
1966-12-31,2420234.0
1965-12-31,2352637.0
1964-12-31,2282764.0
1963-12-31,2211144.0
1962-12-31,2139208.0
1961-12-31,2069085.0
1960-12-31,2002333.0
