Date,Value
2013-12-31,4252700.0
2012-12-31,4267558.0
2011-12-31,4280622.0
2010-12-31,4417781.0
2009-12-31,4429078.0
2008-12-31,4434508.0
2007-12-31,4436000.0
2006-12-31,4440000.0
2005-12-31,4442000.0
2004-12-31,4439000.0
2003-12-31,4440000.0
2002-12-31,4440000.0
2001-12-31,4440000.0
2000-12-31,4426000.0
1999-12-31,4554000.0
1998-12-31,4501000.0
1997-12-31,4572000.0
1996-12-31,4494000.0
1995-12-31,4669000.0
1994-12-31,4650000.0
1993-12-31,4640000.0
1992-12-31,4470000.0
1991-12-31,4510000.0
1990-12-31,4780000.0
1989-12-31,4767000.0
1988-12-31,4757000.0
1987-12-31,4740000.0
1986-12-31,4722000.0
1985-12-31,4701000.0
1984-12-31,4680000.0
1983-12-31,4659000.0
1982-12-31,4635000.0
1981-12-31,4608000.0
1980-12-31,4588000.0
1979-12-31,4571000.0
1978-12-31,4556000.0
1977-12-31,4532000.0
1976-12-31,4530000.0
1975-12-31,4514000.0
1974-12-31,4497000.0
1973-12-31,4478000.0
1972-12-31,4457000.0
1971-12-31,4435000.0
1970-12-31,4411000.0
1969-12-31,4387000.0
1968-12-31,4364000.0
1967-12-31,4339000.0
1966-12-31,4313000.0
1965-12-31,4287000.0
1964-12-31,4259680.0
1963-12-31,4231408.0
1962-12-31,4202104.0
1961-12-31,4171672.0
1960-12-31,4140000.0
