Date,Value
2013-12-31,10317461.0
2012-12-31,10173775.0
2011-12-31,10032864.0
2010-12-31,9896400.0
2009-12-31,9765153.0
2008-12-31,9638255.0
2007-12-31,9513714.0
2006-12-31,9388642.0
2005-12-31,9260879.0
2004-12-31,9129933.0
2003-12-31,8996229.0
2002-12-31,8859635.0
2001-12-31,8720247.0
2000-12-31,8578234.0
1999-12-31,8433339.0
1998-12-31,8285690.0
1997-12-31,8136372.0
1996-12-31,7986858.0
1995-12-31,7838241.0
1994-12-31,7691001.0
1993-12-31,7544982.0
1992-12-31,7399862.0
1991-12-31,7255042.0
1990-12-31,7110116.0
1989-12-31,6965413.0
1988-12-31,6821300.0
1987-12-31,6677487.0
1986-12-31,6533556.0
1985-12-31,6389424.0
1984-12-31,6244898.0
1983-12-31,6100718.0
1982-12-31,5958870.0
1981-12-31,5821974.0
1980-12-31,5691941.0
1979-12-31,5569289.0
1978-12-31,5453582.0
1977-12-31,5344538.0
1976-12-31,5241510.0
1975-12-31,5143815.0
1974-12-31,5051633.0
1973-12-31,4964593.0
1972-12-31,4880740.0
1971-12-31,4797534.0
1970-12-31,4713134.0
1969-12-31,4626727.0
1968-12-31,4538688.0
1967-12-31,4449858.0
1966-12-31,4361648.0
1965-12-31,4275135.0
1964-12-31,4190472.0
1963-12-31,4107392.0
1962-12-31,4026076.0
1961-12-31,3946666.0
1960-12-31,3869288.0
