Date,Value
2013-12-31,249865631.0
2012-12-31,246864191.0
2011-12-31,243801639.0
2010-12-31,240676485.0
2009-12-31,237486894.0
2008-12-31,234243489.0
2007-12-31,230972808.0
2006-12-31,227709821.0
2005-12-31,224480901.0
2004-12-31,221293797.0
2003-12-31,218145617.0
2002-12-31,215038285.0
2001-12-31,211970371.0
2000-12-31,208938698.0
1999-12-31,205946831.0
1998-12-31,202990922.0
1997-12-31,200050444.0
1996-12-31,197097887.0
1995-12-31,194112556.0
1994-12-31,191085673.0
1993-12-31,188019278.0
1992-12-31,184916848.0
1991-12-31,181786329.0
1990-12-31,178633239.0
1989-12-31,175460614.0
1988-12-31,172265107.0
1987-12-31,169039084.0
1986-12-31,165772077.0
1985-12-31,162458871.0
1984-12-31,159097735.0
1983-12-31,155698247.0
1982-12-31,152280731.0
1981-12-31,148872395.0
1980-12-31,145494452.0
1979-12-31,142156086.0
1978-12-31,138857752.0
1977-12-31,135601258.0
1976-12-31,132385413.0
1975-12-31,129210098.0
1974-12-31,126080548.0
1973-12-31,123002081.0
1972-12-31,119974444.0
1971-12-31,116996006.0
1970-12-31,114066887.0
1969-12-31,111187930.0
1968-12-31,108364330.0
1967-12-31,105605766.0
1966-12-31,102924506.0
1965-12-31,100329810.0
1964-12-31,97828538.0
1963-12-31,95420835.0
1962-12-31,93101152.0
1961-12-31,90860197.0
1960-12-31,88692697.0
