Date,Value
2013-12-31,77447168.0
2012-12-31,76424443.0
2011-12-31,75424285.0
2010-12-31,74462314.0
2009-12-31,73542954.0
2008-12-31,72660887.0
2007-12-31,71809219.0
2006-12-31,70976584.0
2005-12-31,70152384.0
2004-12-31,69342126.0
2003-12-31,68543171.0
2002-12-31,67727274.0
2001-12-31,66857624.0
2000-12-31,65911052.0
1999-12-31,64858754.0
1998-12-31,63713397.0
1997-12-31,62542531.0
1996-12-31,61440887.0
1995-12-31,60468352.0
1994-12-31,59663107.0
1993-12-31,58982430.0
1992-12-31,58307457.0
1991-12-31,57472293.0
1990-12-31,56361868.0
1989-12-31,54938264.0
1988-12-31,53250434.0
1987-12-31,51377914.0
1986-12-31,49440637.0
1985-12-31,47531740.0
1984-12-31,45672219.0
1983-12-31,43852710.0
1982-12-31,42100410.0
1981-12-31,40440041.0
1980-12-31,38889520.0
1979-12-31,37465764.0
1978-12-31,36171889.0
1977-12-31,34992483.0
1976-12-31,33901414.0
1975-12-31,32877678.0
1974-12-31,31918360.0
1973-12-31,31024743.0
1972-12-31,30184173.0
1971-12-31,29381955.0
1970-12-31,28606584.0
1969-12-31,27850926.0
1968-12-31,27113136.0
1967-12-31,26393889.0
1966-12-31,25696631.0
1965-12-31,25023580.0
1964-12-31,24373188.0
1963-12-31,23742324.0
1962-12-31,23130085.0
1961-12-31,22535672.0
1960-12-31,21958460.0
