Date,Value
2013-12-31,33417476.0
2012-12-31,32578209.0
2011-12-31,31760020.0
2010-12-31,30962380.0
2009-12-31,30163199.0
2008-12-31,29429829.0
2007-12-31,28740630.0
2006-12-31,28064095.0
2005-12-31,27377045.0
2004-12-31,26673536.0
2003-12-31,25959531.0
2002-12-31,25238267.0
2001-12-31,24516842.0
2000-12-31,23801156.0
1999-12-31,23091408.0
1998-12-31,22387179.0
1997-12-31,21693597.0
1996-12-31,21017108.0
1995-12-31,20363138.0
1994-12-31,19731733.0
1993-12-31,19123947.0
1992-12-31,18547047.0
1991-12-31,18009865.0
1990-12-31,17517521.0
1989-12-31,17073500.0
1988-12-31,16672907.0
1987-12-31,16301879.0
1986-12-31,15941197.0
1985-12-31,15576396.0
1984-12-31,15202850.0
1983-12-31,14822565.0
1982-12-31,14435914.0
1981-12-31,14045450.0
1980-12-31,13653358.0
1979-12-31,13258367.0
1978-12-31,12859762.0
1977-12-31,12461337.0
1976-12-31,12068300.0
1975-12-31,11684585.0
1974-12-31,11312304.0
1973-12-31,10951169.0
1972-12-31,10599846.0
1971-12-31,10255904.0
1970-12-31,9917982.0
1969-12-31,9585576.0
1968-12-31,9260685.0
1967-12-31,8947399.0
1966-12-31,8651167.0
1965-12-31,8375791.0
1964-12-31,8122200.0
1963-12-31,7888914.0
1962-12-31,7674220.0
1961-12-31,7475354.0
1960-12-31,7289759.0
