Date,Value
2013-12-31,8059400.0
2012-12-31,7910500.0
2011-12-31,7765800.0
2010-12-31,7623600.0
2009-12-31,7485600.0
2008-12-31,7308800.0
2007-12-31,7180100.0
2006-12-31,7053700.0
2005-12-31,6930100.0
2004-12-31,6809000.0
2003-12-31,6689700.0
2002-12-31,6570000.0
2001-12-31,6439000.0
2000-12-31,6289000.0
1999-12-31,6125000.0
1998-12-31,5971000.0
1997-12-31,5836000.0
1996-12-31,5692000.0
1995-12-31,5545000.0
1994-12-31,5399000.0
1993-12-31,5261000.0
1992-12-31,5123000.0
1991-12-31,4949000.0
1990-12-31,4660000.0
1989-12-31,4518000.0
1988-12-31,4442000.0
1987-12-31,4369000.0
1986-12-31,4299000.0
1985-12-31,4233000.0
1984-12-31,4159000.0
1983-12-31,4105000.0
1982-12-31,4031000.0
1981-12-31,3956000.0
1980-12-31,3878000.0
1979-12-31,3786000.0
1978-12-31,3690000.0
1977-12-31,3613000.0
1976-12-31,3533000.0
1975-12-31,3455000.0
1974-12-31,3377000.0
1973-12-31,3278000.0
1972-12-31,3148000.0
1971-12-31,3069000.0
1970-12-31,2974000.0
1969-12-31,2877000.0
1968-12-31,2803000.0
1967-12-31,2745000.0
1966-12-31,2629000.0
1965-12-31,2563000.0
1964-12-31,2475000.0
1963-12-31,2379000.0
1962-12-31,2293000.0
1961-12-31,2185000.0
1960-12-31,2114020.0
