Date,Value
2013-12-31,6459000.0
2012-12-31,6318000.0
2011-12-31,6181000.0
2010-12-31,6046000.0
2009-12-31,5915000.0
2008-12-31,5786000.0
2007-12-31,5661000.0
2006-12-31,5536000.0
2005-12-31,5411000.0
2004-12-31,5290000.0
2003-12-31,5164000.0
2002-12-31,5038000.0
2001-12-31,4917000.0
2000-12-31,4797000.0
1999-12-31,4681000.0
1998-12-31,4597000.0
1997-12-31,4459000.0
1996-12-31,4325000.0
1995-12-31,4195000.0
1994-12-31,4061000.0
1993-12-31,3906000.0
1992-12-31,3733000.0
1991-12-31,3545000.0
1990-12-31,3170000.0
1989-12-31,3056000.0
1988-12-31,2948000.0
1987-12-31,2846000.0
1986-12-31,2744000.0
1985-12-31,2644000.0
1984-12-31,2551301.0
1983-12-31,2455896.0
1982-12-31,2359755.0
1981-12-31,2267246.0
1980-12-31,2181000.0
1979-12-31,2099312.0
1978-12-31,2021107.0
1977-12-31,1946630.0
1976-12-31,1876274.0
1975-12-31,1810000.0
1974-12-31,1747710.0
1973-12-31,1689934.0
1972-12-31,1633558.0
1971-12-31,1573846.0
1970-12-31,1508000.0
1969-12-31,1436517.0
1968-12-31,1358918.0
1967-12-31,1278416.0
1966-12-31,1200290.0
1965-12-31,1128000.0
1964-12-31,1060998.0
1963-12-31,999392.0
1962-12-31,943090.0
1961-12-31,891451.0
1960-12-31,844000.0
