Date,Value
2013-12-31,127338621.0
2012-12-31,127561489.0
2011-12-31,127817277.0
2010-12-31,127450459.0
2009-12-31,127557958.0
2008-12-31,127704040.0
2007-12-31,127770750.0
2006-12-31,127756000.0
2005-12-31,127773000.0
2004-12-31,127761000.0
2003-12-31,127718000.0
2002-12-31,127445000.0
2001-12-31,127149000.0
2000-12-31,126870000.0
1999-12-31,126650000.0
1998-12-31,126410000.0
1997-12-31,126091000.0
1996-12-31,125761000.0
1995-12-31,125439000.0
1994-12-31,124961000.0
1993-12-31,124536000.0
1992-12-31,124229000.0
1991-12-31,123921000.0
1990-12-31,123537000.0
1989-12-31,123116000.0
1988-12-31,122613000.0
1987-12-31,122091000.0
1986-12-31,121492000.0
1985-12-31,120754000.0
1984-12-31,120018000.0
1983-12-31,119259000.0
1982-12-31,118449000.0
1981-12-31,117648000.0
1980-12-31,116782000.0
1979-12-31,115870000.0
1978-12-31,114898000.0
1977-12-31,113863000.0
1976-12-31,112771000.0
1975-12-31,111940000.0
1974-12-31,110162000.0
1973-12-31,108079000.0
1972-12-31,107188000.0
1971-12-31,105697000.0
1970-12-31,104345000.0
1969-12-31,103172000.0
1968-12-31,101061000.0
1967-12-31,100725000.0
1966-12-31,99790000.0
1965-12-31,98883000.0
1964-12-31,97826000.0
1963-12-31,96812000.0
1962-12-31,95832000.0
1961-12-31,94943000.0
1960-12-31,92500572.0
