Date,Value
2013-12-31,44353691.0
2012-12-31,43178141.0
2011-12-31,42027891.0
2010-12-31,40909194.0
2009-12-31,39824734.0
2008-12-31,38773277.0
2007-12-31,37752304.0
2006-12-31,36757498.0
2005-12-31,35785718.0
2004-12-31,34834606.0
2003-12-31,33905011.0
2002-12-31,33000524.0
2001-12-31,32126351.0
2000-12-31,31285050.0
1999-12-31,30478597.0
1998-12-31,29702246.0
1997-12-31,28943647.0
1996-12-31,28186224.0
1995-12-31,27418077.0
1994-12-31,26634659.0
1993-12-31,25839132.0
1992-12-31,25036941.0
1991-12-31,24237056.0
1990-12-31,23446439.0
1989-12-31,22666720.0
1988-12-31,21896890.0
1987-12-31,21138372.0
1986-12-31,20392312.0
1985-12-31,19660018.0
1984-12-31,18942464.0
1983-12-31,18241424.0
1982-12-31,17559844.0
1981-12-31,16901167.0
1980-12-31,16267906.0
1979-12-31,15661480.0
1978-12-31,15081677.0
1977-12-31,14527242.0
1976-12-31,13995996.0
1975-12-31,13486241.0
1974-12-31,12997438.0
1973-12-31,12529800.0
1972-12-31,12083159.0
1971-12-31,11657477.0
1970-12-31,11252466.0
1969-12-31,10867717.0
1968-12-31,10502250.0
1967-12-31,10154489.0
1966-12-31,9822505.0
1965-12-31,9504702.0
1964-12-31,9200158.0
1963-12-31,8908425.0
1962-12-31,8628973.0
1961-12-31,8361442.0
1960-12-31,8105440.0
