Date,Value
2013-12-31,54191.0
2012-12-31,53584.0
2011-12-31,52971.0
2010-12-31,52352.0
2009-12-31,51731.0
2008-12-31,51110.0
2007-12-31,50478.0
2006-12-31,49823.0
2005-12-31,49139.0
2004-12-31,48421.0
2003-12-31,47679.0
2002-12-31,46934.0
2001-12-31,46214.0
2000-12-31,45544.0
1999-12-31,44938.0
1998-12-31,44391.0
1997-12-31,43885.0
1996-12-31,43391.0
1995-12-31,42888.0
1994-12-31,42363.0
1993-12-31,41836.0
1992-12-31,41360.0
1991-12-31,41009.0
1990-12-31,40833.0
1989-12-31,40854.0
1988-12-31,41045.0
1987-12-31,41353.0
1986-12-31,41697.0
1985-12-31,42017.0
1984-12-31,42294.0
1983-12-31,42539.0
1982-12-31,42761.0
1981-12-31,42978.0
1980-12-31,43205.0
1979-12-31,43450.0
1978-12-31,43704.0
1977-12-31,43946.0
1976-12-31,44142.0
1975-12-31,44278.0
1974-12-31,44327.0
1973-12-31,44314.0
1972-12-31,44328.0
1971-12-31,44490.0
1970-12-31,44882.0
1969-12-31,45534.0
1968-12-31,46399.0
1967-12-31,47383.0
1966-12-31,48355.0
1965-12-31,49211.0
1964-12-31,49934.0
1963-12-31,50533.0
1962-12-31,50966.0
1961-12-31,51195.0
1960-12-31,51197.0
