Date,Value
2013-12-31,50219669.0
2012-12-31,50004441.0
2011-12-31,49779440.0
2010-12-31,49410366.0
2009-12-31,49182038.0
2008-12-31,48948698.0
2007-12-31,48597652.0
2006-12-31,48371946.0
2005-12-31,48138077.0
2004-12-31,48039415.0
2003-12-31,47859311.0
2002-12-31,47622179.0
2001-12-31,47357362.0
2000-12-31,47008111.0
1999-12-31,46616677.0
1998-12-31,46286503.0
1997-12-31,45953580.0
1996-12-31,45524681.0
1995-12-31,45092991.0
1994-12-31,44641540.0
1993-12-31,44194628.0
1992-12-31,43747962.0
1991-12-31,43295704.0
1990-12-31,42869283.0
1989-12-31,42449038.0
1988-12-31,42031247.0
1987-12-31,41621690.0
1986-12-31,41213674.0
1985-12-31,40805744.0
1984-12-31,40405956.0
1983-12-31,39910403.0
1982-12-31,39326352.0
1981-12-31,38723248.0
1980-12-31,38123775.0
1979-12-31,37534236.0
1978-12-31,36969185.0
1977-12-31,36411795.0
1976-12-31,35848523.0
1975-12-31,35280725.0
1974-12-31,34692266.0
1973-12-31,34103149.0
1972-12-31,33505406.0
1971-12-31,32882704.0
1970-12-31,32240827.0
1969-12-31,31544266.0
1968-12-31,30838302.0
1967-12-31,30130983.0
1966-12-31,29435571.0
1965-12-31,28704674.0
1964-12-31,27984155.0
1963-12-31,27261747.0
1962-12-31,26513030.0
1961-12-31,25765673.0
1960-12-31,25012374.0
