Date,Value
2013-12-31,1824000.0
2012-12-31,1807106.0
2011-12-31,1790957.0
2010-12-31,1775680.0
2009-12-31,1761474.0
2008-12-31,1747383.0
2007-12-31,1733404.0
2006-12-31,1719536.0
2005-12-31,1705780.0
2004-12-31,1704622.0
2003-12-31,1703466.0
2002-12-31,1702310.0
2001-12-31,1701154.0
2000-12-31,1700000.0
1999-12-31,1762000.0
1998-12-31,1966000.0
1997-12-31,2086000.0
1996-12-31,2059000.0
1995-12-31,2029000.0
1994-12-31,1997000.0
1993-12-31,1965000.0
1992-12-31,1932000.0
1991-12-31,1898000.0
1990-12-31,1862000.0
1989-12-31,1827000.0
1988-12-31,1791000.0
1987-12-31,1753000.0
1986-12-31,1717000.0
1985-12-31,1682000.0
1984-12-31,1647000.0
1983-12-31,1614000.0
1982-12-31,1582000.0
1981-12-31,1552000.0
1980-12-31,1521000.0
1979-12-31,1491000.0
1978-12-31,1460000.0
1977-12-31,1430000.0
1976-12-31,1400000.0
1975-12-31,1369000.0
1974-12-31,1339000.0
1973-12-31,1308000.0
1972-12-31,1278000.0
1971-12-31,1247000.0
1970-12-31,1219000.0
1969-12-31,1191000.0
1968-12-31,1163000.0
1967-12-31,1135000.0
1966-12-31,1106000.0
1965-12-31,1078000.0
1964-12-31,1050000.0
1963-12-31,1022000.0
1962-12-31,994000.0
1961-12-31,966000.0
1960-12-31,947000.0
