Date,Value
2013-12-31,6769727.0
2012-12-31,6645827.0
2011-12-31,6521314.0
2010-12-31,6395713.0
2009-12-31,6267968.0
2008-12-31,6139127.0
2007-12-31,6013278.0
2006-12-31,5895930.0
2005-12-31,5790646.0
2004-12-31,5699112.0
2003-12-31,5619069.0
2002-12-31,5545245.0
2001-12-31,5470169.0
2000-12-31,5388281.0
1999-12-31,5298146.0
1998-12-31,5200898.0
1997-12-31,5096724.0
1996-12-31,4986592.0
1995-12-31,4871472.0
1994-12-31,4751142.0
1993-12-31,4625861.0
1992-12-31,4497827.0
1991-12-31,4369940.0
1990-12-31,4244520.0
1989-12-31,4122737.0
1988-12-31,4004881.0
1987-12-31,3891340.0
1986-12-31,3782195.0
1985-12-31,3677692.0
1984-12-31,3577281.0
1983-12-31,3481583.0
1982-12-31,3393250.0
1981-12-31,3315725.0
1980-12-31,3250924.0
1979-12-31,3200598.0
1978-12-31,3162568.0
1977-12-31,3130003.0
1976-12-31,3093537.0
1975-12-31,3046549.0
1974-12-31,2986320.0
1973-12-31,2915019.0
1972-12-31,2836932.0
1971-12-31,2758694.0
1970-12-31,2685174.0
1969-12-31,2617482.0
1968-12-31,2554162.0
1967-12-31,2494491.0
1966-12-31,2436999.0
1965-12-31,2380603.0
1964-12-31,2325343.0
1963-12-31,2271735.0
1962-12-31,2219669.0
1961-12-31,2169035.0
1960-12-31,2119731.0
