Date,Value
2013-12-31,4467390.0
2012-12-31,4424888.0
2011-12-31,4382790.0
2010-12-31,4341092.0
2009-12-31,4246924.0
2008-12-31,4186088.0
2007-12-31,4139813.0
2006-12-31,4079823.0
2005-12-31,3986865.0
2004-12-31,3853582.0
2003-12-31,3690110.0
2002-12-31,3515604.0
2001-12-31,3357600.0
2000-12-31,3235380.0
1999-12-31,3156706.0
1998-12-31,3114014.0
1997-12-31,3092718.0
1996-12-31,3070984.0
1995-12-31,3033406.0
1994-12-31,2974647.0
1993-12-31,2900862.0
1992-12-31,2821868.0
1991-12-31,2752473.0
1990-12-31,2703019.0
1989-12-31,2676615.0
1988-12-31,2668593.0
1987-12-31,2672182.0
1986-12-31,2677290.0
1985-12-31,2676593.0
1984-12-31,2667229.0
1983-12-31,2651295.0
1982-12-31,2632281.0
1981-12-31,2615753.0
1980-12-31,2605294.0
1979-12-31,2602573.0
1978-12-31,2604875.0
1977-12-31,2606224.0
1976-12-31,2598362.0
1975-12-31,2575693.0
1974-12-31,2535503.0
1973-12-31,2480426.0
1972-12-31,2416743.0
1971-12-31,2353569.0
1970-12-31,2297403.0
1969-12-31,2250609.0
1968-12-31,2210965.0
1967-12-31,2174850.0
1966-12-31,2136640.0
1965-12-31,2092354.0
1964-12-31,2041212.0
1963-12-31,1984982.0
1962-12-31,1925276.0
1961-12-31,1864605.0
1960-12-31,1804927.0
