Date,Value
2013-12-31,4294077.0
2012-12-31,4190435.0
2011-12-31,4079697.0
2010-12-31,3957990.0
2009-12-31,3821440.0
2008-12-31,3672714.0
2007-12-31,3522294.0
2006-12-31,3384791.0
2005-12-31,3269786.0
2004-12-31,3184643.0
2003-12-31,3124222.0
2002-12-31,3070673.0
2001-12-31,2998770.0
2000-12-31,2891968.0
1999-12-31,2741755.0
1998-12-31,2558085.0
1997-12-31,2365290.0
1996-12-31,2197801.0
1995-12-31,2079921.0
1994-12-31,2019148.0
1993-12-31,2006349.0
1992-12-31,2028672.0
1991-12-31,2066060.0
1990-12-31,2102877.0
1989-12-31,2137018.0
1988-12-31,2170426.0
1987-12-31,2196204.0
1986-12-31,2206867.0
1985-12-31,2197442.0
1984-12-31,2163835.0
1983-12-31,2107523.0
1982-12-31,2036325.0
1981-12-31,1961795.0
1980-12-31,1892529.0
1979-12-31,1830963.0
1978-12-31,1775200.0
1977-12-31,1724313.0
1976-12-31,1676016.0
1975-12-31,1628656.0
1974-12-31,1582584.0
1973-12-31,1538882.0
1972-12-31,1497356.0
1971-12-31,1457714.0
1970-12-31,1419728.0
1969-12-31,1383305.0
1968-12-31,1348448.0
1967-12-31,1315119.0
1966-12-31,1283304.0
1965-12-31,1252968.0
1964-12-31,1224094.0
1963-12-31,1196588.0
1962-12-31,1170267.0
1961-12-31,1144896.0
1960-12-31,1120314.0
