Date,Value
2013-12-31,182273.0
2012-12-31,180870.0
2011-12-31,179271.0
2010-12-31,177397.0
2009-12-31,175200.0
2008-12-31,172734.0
2007-12-31,170149.0
2006-12-31,167658.0
2005-12-31,165407.0
2004-12-31,163460.0
2003-12-31,161766.0
2002-12-31,160217.0
2001-12-31,158650.0
2000-12-31,156949.0
1999-12-31,155073.0
1998-12-31,153066.0
1997-12-31,150994.0
1996-12-31,148962.0
1995-12-31,147040.0
1994-12-31,145262.0
1993-12-31,143592.0
1992-12-31,141934.0
1991-12-31,140159.0
1990-12-31,138180.0
1989-12-31,135954.0
1988-12-31,133532.0
1987-12-31,131032.0
1986-12-31,128620.0
1985-12-31,126416.0
1984-12-31,124468.0
1983-12-31,122738.0
1982-12-31,121150.0
1981-12-31,119593.0
1980-12-31,117984.0
1979-12-31,116292.0
1978-12-31,114551.0
1977-12-31,112826.0
1976-12-31,111211.0
1975-12-31,109770.0
1974-12-31,108534.0
1973-12-31,107461.0
1972-12-31,106458.0
1971-12-31,105389.0
1970-12-31,104162.0
1969-12-31,102747.0
1968-12-31,101181.0
1967-12-31,99526.0
1966-12-31,97877.0
1965-12-31,96303.0
1964-12-31,94813.0
1963-12-31,93397.0
1962-12-31,92086.0
1961-12-31,90913.0
1960-12-31,89901.0
