Date,Value
2013-12-31,20483000.0
2012-12-31,20328000.0
2011-12-31,20869000.0
2010-12-31,20653000.0
2009-12-31,20450000.0
2008-12-31,20217000.0
2007-12-31,20039000.0
2006-12-31,19858000.0
2005-12-31,19644000.0
2004-12-31,19435000.0
2003-12-31,19173000.0
2002-12-31,18921000.0
2001-12-31,18797000.0
2000-12-31,19102000.0
1999-12-31,19056000.0
1998-12-31,18784000.0
1997-12-31,18568000.0
1996-12-31,18336000.0
1995-12-31,18136000.0
1994-12-31,17891000.0
1993-12-31,17646000.0
1992-12-31,17426000.0
1991-12-31,17267000.0
1990-12-31,17015000.0
1989-12-31,16825000.0
1988-12-31,16599000.0
1987-12-31,16373000.0
1986-12-31,16127000.0
1985-12-31,15842000.0
1984-12-31,15603000.0
1983-12-31,15417000.0
1982-12-31,15196000.0
1981-12-31,14847000.0
1980-12-31,14747000.0
1979-12-31,14472000.0
1978-12-31,14190000.0
1977-12-31,13942000.0
1976-12-31,13717000.0
1975-12-31,13496000.0
1974-12-31,13284000.0
1973-12-31,13091000.0
1972-12-31,12861000.0
1971-12-31,12690000.0
1970-12-31,12514000.0
1969-12-31,12252000.0
1968-12-31,11992000.0
1967-12-31,11703000.0
1966-12-31,11439000.0
1965-12-31,11164000.0
1964-12-31,10903000.0
1963-12-31,10582000.0
1962-12-31,10443000.0
1961-12-31,10168000.0
1960-12-31,9896000.0
