Date,Value
2013-12-31,2074465.0
2012-12-31,2051545.0
2011-12-31,2029516.0
2010-12-31,2008921.0
2009-12-31,1989873.0
2008-12-31,1972199.0
2007-12-31,1955784.0
2006-12-31,1940413.0
2005-12-31,1925844.0
2004-12-31,1912022.0
2003-12-31,1898757.0
2002-12-31,1885487.0
2001-12-31,1871500.0
2000-12-31,1856225.0
1999-12-31,1839611.0
1998-12-31,1821609.0
1997-12-31,1801679.0
1996-12-31,1779197.0
1995-12-31,1753824.0
1994-12-31,1725118.0
1993-12-31,1693459.0
1992-12-31,1660360.0
1991-12-31,1627900.0
1990-12-31,1597534.0
1989-12-31,1569936.0
1988-12-31,1544580.0
1987-12-31,1520244.0
1986-12-31,1495101.0
1985-12-31,1467856.0
1984-12-31,1438248.0
1983-12-31,1406818.0
1982-12-31,1374044.0
1981-12-31,1340694.0
1980-12-31,1307403.0
1979-12-31,1274216.0
1978-12-31,1241159.0
1977-12-31,1208836.0
1976-12-31,1177975.0
1975-12-31,1149090.0
1974-12-31,1122484.0
1973-12-31,1098033.0
1972-12-31,1075281.0
1971-12-31,1053524.0
1970-12-31,1032240.0
1969-12-31,1011308.0
1968-12-31,990869.0
1967-12-31,970972.0
1966-12-31,951736.0
1965-12-31,933251.0
1964-12-31,915473.0
1963-12-31,898342.0
1962-12-31,881910.0
1961-12-31,866253.0
1960-12-31,851412.0
