Date,Value
2013-12-31,2956121.0
2012-12-31,2987773.0
2011-12-31,3028115.0
2010-12-31,3097282.0
2009-12-31,3162916.0
2008-12-31,3198231.0
2007-12-31,3231294.0
2006-12-31,3269909.0
2005-12-31,3322528.0
2004-12-31,3377075.0
2003-12-31,3415213.0
2002-12-31,3443067.0
2001-12-31,3470818.0
2000-12-31,3499536.0
1999-12-31,3524238.0
1998-12-31,3549331.0
1997-12-31,3575137.0
1996-12-31,3601613.0
1995-12-31,3629102.0
1994-12-31,3657144.0
1993-12-31,3682613.0
1992-12-31,3700114.0
1991-12-31,3704134.0
1990-12-31,3697838.0
1989-12-31,3684255.0
1988-12-31,3655049.0
1987-12-31,3616367.0
1986-12-31,3578914.0
1985-12-31,3544543.0
1984-12-31,3514205.0
1983-12-31,3485192.0
1982-12-31,3457179.0
1981-12-31,3432947.0
1980-12-31,3413202.0
1979-12-31,3397842.0
1978-12-31,3379514.0
1977-12-31,3355036.0
1976-12-31,3328664.0
1975-12-31,3301652.0
1974-12-31,3273894.0
1973-12-31,3244438.0
1972-12-31,3213622.0
1971-12-31,3179041.0
1970-12-31,3139689.0
1969-12-31,3107321.0
1968-12-31,3078850.0
1967-12-31,3044400.0
1966-12-31,3008050.0
1965-12-31,2971450.0
1964-12-31,2935200.0
1963-12-31,2898950.0
1962-12-31,2863350.0
1961-12-31,2823550.0
1960-12-31,2778550.0
