Date,Value
2013-12-31,2013385.0
2012-12-31,2034319.0
2011-12-31,2059709.0
2010-12-31,2097555.0
2009-12-31,2141669.0
2008-12-31,2177322.0
2007-12-31,2200325.0
2006-12-31,2218357.0
2005-12-31,2238799.0
2004-12-31,2263122.0
2003-12-31,2287955.0
2002-12-31,2310173.0
2001-12-31,2337170.0
2000-12-31,2367550.0
1999-12-31,2390482.0
1998-12-31,2410019.0
1997-12-31,2432851.0
1996-12-31,2457222.0
1995-12-31,2485056.0
1994-12-31,2520742.0
1993-12-31,2563290.0
1992-12-31,2614338.0
1991-12-31,2650581.0
1990-12-31,2663151.0
1989-12-31,2666955.0
1988-12-31,2653434.0
1987-12-31,2626583.0
1986-12-31,2599892.0
1985-12-31,2578873.0
1984-12-31,2562047.0
1983-12-31,2546011.0
1982-12-31,2531080.0
1981-12-31,2519421.0
1980-12-31,2511701.0
1979-12-31,2505953.0
1978-12-31,2497921.0
1977-12-31,2485073.0
1976-12-31,2470989.0
1975-12-31,2456130.0
1974-12-31,2437186.0
1973-12-31,2415819.0
1972-12-31,2395674.0
1971-12-31,2376389.0
1970-12-31,2359164.0
1969-12-31,2343173.0
1968-12-31,2323619.0
1967-12-31,2301220.0
1966-12-31,2283217.0
1965-12-31,2265919.0
1964-12-31,2240623.0
1963-12-31,2210919.0
1962-12-31,2181586.0
1961-12-31,2152681.0
1960-12-31,2120979.0
