Date,Value
2013-12-31,33008150.0
2012-12-31,32521143.0
2011-12-31,32059424.0
2010-12-31,31642360.0
2009-12-31,31276564.0
2008-12-31,30955151.0
2007-12-31,30667086.0
2006-12-31,30395097.0
2005-12-31,30125445.0
2004-12-31,29855820.0
2003-12-31,29586937.0
2002-12-31,29311443.0
2001-12-31,29021156.0
2000-12-31,28710123.0
1999-12-31,28374203.0
1998-12-31,28013585.0
1997-12-31,27632321.0
1996-12-31,27237150.0
1995-12-31,26833093.0
1994-12-31,26421309.0
1993-12-31,26000345.0
1992-12-31,25569662.0
1991-12-31,25128064.0
1990-12-31,24674974.0
1989-12-31,24211718.0
1988-12-31,23739980.0
1987-12-31,23260094.0
1986-12-31,22772287.0
1985-12-31,22277541.0
1984-12-31,21776104.0
1983-12-31,21270638.0
1982-12-31,20767511.0
1981-12-31,20274839.0
1980-12-31,19798703.0
1979-12-31,19340967.0
1978-12-31,18900970.0
1977-12-31,18478909.0
1976-12-31,18074081.0
1975-12-31,17685326.0
1974-12-31,17313732.0
1973-12-31,16958091.0
1972-12-31,16611970.0
1971-12-31,16266807.0
1970-12-31,15916387.0
1969-12-31,15557664.0
1968-12-31,15191876.0
1967-12-31,14822362.0
1966-12-31,14454566.0
1965-12-31,14092269.0
1964-12-31,13737160.0
1963-12-31,13387425.0
1962-12-31,13039318.0
1961-12-31,12687467.0
1960-12-31,12328534.0
