Date,Value
2013-12-31,3559000.0
2012-12-31,3559519.0
2011-12-31,3559986.0
2010-12-31,3562045.0
2009-12-31,3565604.0
2008-12-31,3570108.0
2007-12-31,3576910.0
2006-12-31,3585209.0
2005-12-31,3595187.0
2004-12-31,3603945.0
2003-12-31,3612874.0
2002-12-31,3623062.0
2001-12-31,3631462.0
2000-12-31,3639592.0
1999-12-31,3647001.0
1998-12-31,3652732.0
1997-12-31,3654208.0
1996-12-31,3667748.0
1995-12-31,3675099.0
1994-12-31,3694000.0
1993-12-31,3705000.0
1992-12-31,3709000.0
1991-12-31,3706000.0
1990-12-31,3696000.0
1989-12-31,3681000.0
1988-12-31,3659000.0
1987-12-31,3632000.0
1986-12-31,3602000.0
1985-12-31,3570000.0
1984-12-31,3536000.0
1983-12-31,3500000.0
1982-12-31,3464000.0
1981-12-31,3429000.0
1980-12-31,3397000.0
1979-12-31,3367000.0
1978-12-31,3339000.0
1977-12-31,3313000.0
1976-12-31,3284000.0
1975-12-31,3252000.0
1974-12-31,3215000.0
1973-12-31,3175000.0
1972-12-31,3132000.0
1971-12-31,3088000.0
1970-12-31,3045000.0
1969-12-31,3002000.0
1968-12-31,2960000.0
1967-12-31,2918000.0
1966-12-31,2873000.0
1965-12-31,2825000.0
1964-12-31,2774000.0
1963-12-31,2721000.0
1962-12-31,2664000.0
1961-12-31,2605000.0
1960-12-31,2544000.0
