Date,Value
2013-12-31,22924851.0
2012-12-31,22293914.0
2011-12-31,21678934.0
2010-12-31,21079532.0
2009-12-31,20495695.0
2008-12-31,19926785.0
2007-12-31,19371023.0
2006-12-31,18826126.0
2005-12-31,18290394.0
2004-12-31,17763367.0
2003-12-31,17245275.0
2002-12-31,16736029.0
2001-12-31,16235767.0
2000-12-31,15744811.0
1999-12-31,15262817.0
1998-12-31,14790245.0
1997-12-31,14329239.0
1996-12-31,13882646.0
1995-12-31,13452526.0
1994-12-31,13039754.0
1993-12-31,12643864.0
1992-12-31,12263899.0
1991-12-31,11898267.0
1990-12-31,11545782.0
1989-12-31,11205548.0
1988-12-31,10877757.0
1987-12-31,10563491.0
1986-12-31,10264368.0
1985-12-31,9981113.0
1984-12-31,9714342.0
1983-12-31,9462343.0
1982-12-31,9220693.0
1981-12-31,8983494.0
1980-12-31,8746516.0
1979-12-31,8507958.0
1978-12-31,8268902.0
1977-12-31,8031589.0
1976-12-31,7799642.0
1975-12-31,7575757.0
1974-12-31,7360271.0
1973-12-31,7152391.0
1972-12-31,6952383.0
1971-12-31,6760352.0
1970-12-31,6576301.0
1969-12-31,6400454.0
1968-12-31,6232704.0
1967-12-31,6072270.0
1966-12-31,5918060.0
1965-12-31,5769219.0
1964-12-31,5625401.0
1963-12-31,5486593.0
1962-12-31,5352674.0
1961-12-31,5223621.0
1960-12-31,5099371.0
