Date,Value
2013-12-31,345023.0
2012-12-31,338442.0
2011-12-31,331964.0
2010-12-31,325694.0
2009-12-31,319660.0
2008-12-31,313843.0
2007-12-31,308239.0
2006-12-31,302825.0
2005-12-31,297576.0
2004-12-31,292505.0
2003-12-31,287594.0
2002-12-31,282743.0
2001-12-31,277825.0
2000-12-31,272745.0
1999-12-31,267456.0
1998-12-31,261973.0
1997-12-31,256347.0
1996-12-31,250659.0
1995-12-31,244965.0
1994-12-31,239291.0
1993-12-31,233611.0
1992-12-31,227863.0
1991-12-31,221963.0
1990-12-31,215859.0
1989-12-31,209545.0
1988-12-31,203072.0
1987-12-31,196513.0
1986-12-31,189974.0
1985-12-31,183538.0
1984-12-31,177213.0
1983-12-31,171015.0
1982-12-31,165053.0
1981-12-31,159459.0
1980-12-31,154316.0
1979-12-31,149699.0
1978-12-31,145563.0
1977-12-31,141736.0
1976-12-31,137965.0
1975-12-31,134077.0
1974-12-31,129993.0
1973-12-31,125780.0
1972-12-31,121593.0
1971-12-31,117664.0
1970-12-31,114150.0
1969-12-31,111106.0
1968-12-31,108458.0
1967-12-31,106072.0
1966-12-31,103759.0
1965-12-31,101381.0
1964-12-31,98899.0
1963-12-31,96358.0
1962-12-31,93806.0
1961-12-31,91319.0
1960-12-31,88960.0
