Date,Value
2013-12-31,122332399.0
2012-12-31,120847477.0
2011-12-31,119361233.0
2010-12-31,117886404.0
2009-12-31,116422752.0
2008-12-31,114968039.0
2007-12-31,113529819.0
2006-12-31,112116694.0
2005-12-31,110731826.0
2004-12-31,109381550.0
2003-12-31,108056312.0
2002-12-31,106723661.0
2001-12-31,105339877.0
2000-12-31,103873607.0
1999-12-31,102316781.0
1998-12-31,100678867.0
1997-12-31,98968558.0
1996-12-31,97201533.0
1995-12-31,95392647.0
1994-12-31,93541577.0
1993-12-31,91653826.0
1992-12-31,89757916.0
1991-12-31,87890094.0
1990-12-31,86077004.0
1989-12-31,84326921.0
1988-12-31,82635332.0
1987-12-31,80999175.0
1986-12-31,79410218.0
1985-12-31,77859344.0
1984-12-31,76351106.0
1983-12-31,74880326.0
1982-12-31,73415735.0
1981-12-31,71916281.0
1980-12-31,70353013.0
1979-12-31,68715443.0
1978-12-31,67012869.0
1977-12-31,65261295.0
1976-12-31,63486196.0
1975-12-31,61708369.0
1974-12-31,59931341.0
1973-12-31,58155590.0
1972-12-31,56395803.0
1971-12-31,54669034.0
1970-12-31,52988138.0
1969-12-31,51360846.0
1968-12-31,49787609.0
1967-12-31,48264496.0
1966-12-31,46783542.0
1965-12-31,45338827.0
1964-12-31,43931398.0
1963-12-31,42564038.0
1962-12-31,41234350.0
1961-12-31,39939271.0
1960-12-31,38676974.0
