Date,Value
2013-12-31,2107158.0
2012-12-31,2105575.0
2011-12-31,2103890.0
2010-12-31,2102216.0
2009-12-31,2100558.0
2008-12-31,2098769.0
2007-12-31,2096620.0
2006-12-31,2093801.0
2005-12-31,2090044.0
2004-12-31,2085728.0
2003-12-31,2080866.0
2002-12-31,2074441.0
2001-12-31,2065098.0
2000-12-31,2052129.0
1999-12-31,2034487.0
1998-12-31,2013117.0
1997-12-31,1991687.0
1996-12-31,1975207.0
1995-12-31,1967013.0
1994-12-31,1968851.0
1993-12-31,1978999.0
1992-12-31,1993080.0
1991-12-31,2004813.0
1990-12-31,2009710.0
1989-12-31,2006063.0
1988-12-31,1995338.0
1987-12-31,1980064.0
1986-12-31,1964188.0
1985-12-31,1950487.0
1984-12-31,1939913.0
1983-12-31,1931280.0
1982-12-31,1922729.0
1981-12-31,1911496.0
1980-12-31,1895727.0
1979-12-31,1874648.0
1978-12-31,1849320.0
1977-12-31,1821920.0
1976-12-31,1795556.0
1975-12-31,1772405.0
1974-12-31,1753342.0
1973-12-31,1737547.0
1972-12-31,1723445.0
1971-12-31,1708662.0
1970-12-31,1691507.0
1969-12-31,1671533.0
1968-12-31,1649396.0
1967-12-31,1625829.0
1966-12-31,1601987.0
1965-12-31,1578730.0
1964-12-31,1556150.0
1963-12-31,1533999.0
1962-12-31,1512404.0
1961-12-31,1491446.0
1960-12-31,1471139.0
