Date,Value
2013-12-31,15301650.0
2012-12-31,14853572.0
2011-12-31,14416737.0
2010-12-31,13985961.0
2009-12-31,13559296.0
2008-12-31,13138299.0
2007-12-31,12725629.0
2006-12-31,12325545.0
2005-12-31,11941258.0
2004-12-31,11572936.0
2003-12-31,11219737.0
2002-12-31,10882662.0
2001-12-31,10562768.0
2000-12-31,10260577.0
1999-12-31,9977308.0
1998-12-31,9712365.0
1997-12-31,9462256.0
1996-12-31,9222157.0
1995-12-31,8988853.0
1994-12-31,8759442.0
1993-12-31,8535338.0
1992-12-31,8322743.0
1991-12-31,8130473.0
1990-12-31,7964066.0
1989-12-31,7826368.0
1988-12-31,7713098.0
1987-12-31,7613990.0
1986-12-31,7514770.0
1985-12-31,7405201.0
1984-12-31,7281246.0
1983-12-31,7145879.0
1982-12-31,7004456.0
1981-12-31,6865516.0
1980-12-31,6735247.0
1979-12-31,6615058.0
1978-12-31,6502693.0
1977-12-31,6396391.0
1976-12-31,6293218.0
1975-12-31,6191134.0
1974-12-31,6089644.0
1973-12-31,5989840.0
1972-12-31,5893113.0
1971-12-31,5801472.0
1970-12-31,5716294.0
1969-12-31,5637927.0
1968-12-31,5565670.0
1967-12-31,5498558.0
1966-12-31,5435158.0
1965-12-31,5374327.0
1964-12-31,5315835.0
1963-12-31,5259686.0
1962-12-31,5205248.0
1961-12-31,5151827.0
1960-12-31,5098942.0
