Date,Value
2013-12-31,423282.0
2012-12-31,419455.0
2011-12-31,416268.0
2010-12-31,414508.0
2009-12-31,412477.0
2008-12-31,409379.0
2007-12-31,406724.0
2006-12-31,405308.0
2005-12-31,403834.0
2004-12-31,401268.0
2003-12-31,398582.0
2002-12-31,395969.0
2001-12-31,393028.0
2000-12-31,381363.0
1999-12-31,379360.0
1998-12-31,377516.0
1997-12-31,375236.0
1996-12-31,372687.0
1995-12-31,370433.0
1994-12-31,367941.0
1993-12-31,364704.0
1992-12-31,361260.0
1991-12-31,357727.0
1990-12-31,354170.0
1989-12-31,350722.0
1988-12-31,347325.0
1987-12-31,344485.0
1986-12-31,342121.0
1985-12-31,336452.0
1984-12-31,330593.0
1983-12-31,330524.0
1982-12-31,325898.0
1981-12-31,318982.0
1980-12-31,316645.0
1979-12-31,313342.0
1978-12-31,310182.0
1977-12-31,306970.0
1976-12-31,305774.0
1975-12-31,304222.0
1974-12-31,301996.0
1973-12-31,302200.0
1972-12-31,302450.0
1971-12-31,302700.0
1970-12-31,302650.0
1969-12-31,304300.0
1968-12-31,307900.0
1967-12-31,311550.0
1966-12-31,315200.0
1965-12-31,318800.0
1964-12-31,321250.0
1963-12-31,322550.0
1962-12-31,323900.0
1961-12-31,325250.0
1960-12-31,326550.0
